회수,의원명,단어,빈도수
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생체육관 김재숙,안녕하십니까,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생체육관 김재숙,서울특별시,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생체육관 김재숙,김재,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생체육관 김재숙,존경,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생체육관 김재숙,김생,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생체육관 김재숙,송재형,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생체육관 김재숙,부위,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생체육관 김재숙,장인,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생체육관 김재숙,비롯,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생체육관 김재숙,사무,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생체육관 김재숙,감사,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생체육관 김재숙,매우,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생체육관 김재숙,실적,7.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생체육관 김재숙,먼저,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생체육관 김재숙,명의,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생체육관 김재숙,본관,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생체육관 김재숙,수영장,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생체육관 김재숙,강서,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생체육관 김재숙,교직원,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생체육관 김재숙,예산,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생체육관 김재숙,예산현,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생체육관 김재숙,세입,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생체육관 김재숙,징수,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생체육관 김재숙,연간,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생체육관 김재숙,어울림,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생체육관 김재숙,설정,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생체육관 김재숙,스포츠클럽,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생체육관 김재숙,활성화,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생체육관 김재숙,체육교사,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생체육관 김재숙,수영,6.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생체육관 김재숙,안전교육,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생체육관 김재숙,실화,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생체육관 김재숙,이용자,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생체육관 김재숙,유관,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생체육관 김재숙,협업,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생체육관 김재숙,여학생,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생체육관 김재숙,여신,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생체육관 김재숙,원단,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생체육관 김재숙,성황리,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생체육관 김재숙,종목,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생체육관 김재숙,체육대회,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생체육관 김재숙,실기,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생체육관 김재숙,교사,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생체육관 김재숙,무용,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생체육관 김재숙,자율,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생체육관 김재숙,소년,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생체육관 김재숙,전국체육대회,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생체육관 김재숙,선수,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생체육관 김재숙,연중,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생체육관 김재숙,체전,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생체육관 김재숙,예선,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생체육관 김재숙,교육지원청,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생체육관 김재숙,교육장,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생체육관 김재숙,초등학교,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생체육관 김재숙,초등학생,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생체육관 김재숙,순환,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생체육관 김재숙,돌고래,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생체육관 김재숙,영법,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생체육관 김재숙,수준별,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생체육관 김재숙,생존,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생체육관 김재숙,하이,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생체육관 김재숙,다이빙,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생체육관 김재숙,스노,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생체육관 김재숙,쿨링,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생체육관 김재숙,배정,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생체육관 김재숙,고등학생,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생체육관 김재숙,원함,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생체육관 김재숙,안전,1.0
