회수,의원명,단어,빈도수
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생체육관장 김재숙,수영장,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생체육관장 김재숙,말씀,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생체육관장 김재숙,것입,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생체육관장 김재숙,거기,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생체육관장 김재숙,강습,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생체육관장 김재숙,일반인,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생체육관장 김재숙,순환,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생체육관장 김재숙,새벽,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생체육관장 김재숙,수영,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생체육관장 김재숙,강서,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생체육관장 김재숙,한번,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생체육관장 김재숙,만요,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생체육관장 김재숙,수익률,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생체육관장 김재숙,조례,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생체육관장 김재숙,적자,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생체육관장 김재숙,유지관리,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생체육관장 김재숙,인건비,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생체육관장 김재숙,초등학교,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생체육관장 김재숙,내지,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생체육관장 김재숙,선수,1.0
