회수,의원명,단어,빈도수
제277회[정례회] (2017.11.01 ~ 2017.12.20),허기회 위원,허기,5.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),허기회 위원,임기,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),허기회 위원,체적,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),허기회 위원,관악구,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),허기회 위원,접근,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),허기회 위원,아주,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),허기회 위원,율도,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),허기회 위원,완성,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),허기회 위원,간다,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),허기회 위원,모범,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),허기회 위원,웃음소리,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),허기회 위원,방과후,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),허기회 위원,자치구,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),허기회 위원,주체,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),허기회 위원,얘기,9.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),허기회 위원,학부모,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),허기회 위원,동네,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),허기회 위원,먼저,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),허기회 위원,시오,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),허기회 위원,말씀,13.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),허기회 위원,지자체,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),허기회 위원,매칭,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),허기회 위원,이기,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),허기회 위원,실질,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),허기회 위원,수입,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),허기회 위원,구나,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),허기회 위원,독립,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),허기회 위원,가요,7.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),허기회 위원,가보,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),허기회 위원,일종,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),허기회 위원,비정규직,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),허기회 위원,관해,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),허기회 위원,답변,6.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),허기회 위원,총무,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),허기회 위원,이십,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),허기회 위원,야간,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),허기회 위원,당직,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),허기회 위원,이세,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),허기회 위원,한번,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),허기회 위원,이분,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),허기회 위원,별로,6.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),허기회 위원,달라,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),허기회 위원,연령,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),허기회 위원,간접,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),허기회 위원,고용,8.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),허기회 위원,거지,22.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),허기회 위원,용역,12.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),허기회 위원,보안관,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),허기회 위원,듯이,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),허기회 위원,세로,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),허기회 위원,저녁,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),허기회 위원,숙직,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),허기회 위원,거기,6.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),허기회 위원,하룻밤,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),허기회 위원,가해,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),허기회 위원,지난번,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),허기회 위원,직장,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),허기회 위원,사정,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),허기회 위원,정규직,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),허기회 위원,정년,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),허기회 위원,건가,5.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),허기회 위원,교육부,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),허기회 위원,옛날,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),허기회 위원,편리,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),허기회 위원,캠페인,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),허기회 위원,살이,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),허기회 위원,일자리,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),허기회 위원,연세,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),허기회 위원,기도,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),허기회 위원,의욕,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),허기회 위원,플래시,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),허기회 위원,분도,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),허기회 위원,계시,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),허기회 위원,대두,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),허기회 위원,원래,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),허기회 위원,요즘,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),허기회 위원,월급,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),허기회 위원,누가,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),허기회 위원,예산,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),허기회 위원,최저임금,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),허기회 위원,근무시간,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),허기회 위원,나중,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),허기회 위원,용이,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),허기회 위원,직접,4.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),허기회 위원,하든,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),허기회 위원,실장,16.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),허기회 위원,나름,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),허기회 위원,정말,3.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),허기회 위원,어르신,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),허기회 위원,운동장,2.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),허기회 위원,정녕,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),허기회 위원,청소부,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),허기회 위원,마찬가지,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),허기회 위원,청소,9.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),허기회 위원,아침,1.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),허기회 위원,그냥,7.0
제277회[정례회] (2017.11.01 ~ 2017.12.20),허기회 위원,수만,1.0
