회수,의원명,단어,빈도수
제284회[정례회] (2018.11.01 ~ 2018.12.20),감사관 이민종,안녕하십니까,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),감사관 이민종,감사,142.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),감사관 이민종,이민,6.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),감사관 이민종,존경,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),감사관 이민종,장인,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),감사관 이민종,김경,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),감사관 이민종,부위,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),감사관 이민종,인구,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),감사관 이민종,비롯,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),감사관 이민종,사무,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),감사관 이민종,관실,11.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),감사관 이민종,매우,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),감사관 이민종,드릴,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),감사관 이민종,순서,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),감사관 이민종,예산,7.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),감사관 이민종,청렴,38.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),감사관 이민종,총괄,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),감사관 이민종,특정,6.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),감사관 이민종,교육행정,6.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),감사관 이민종,공익,8.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),감사관 이민종,상근,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),감사관 이민종,민감,21.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),감사관 이민종,사관,21.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),감사관 이민종,명의,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),감사관 이민종,앞서,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),감사관 이민종,중복,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),감사관 이민종,실적,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),감사관 이민종,주로,9.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),감사관 이민종,청탁,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),감사관 이민종,간부,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),감사관 이민종,상당,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),감사관 이민종,위험성,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),감사관 이민종,러스트,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),감사관 이민종,직속,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),감사관 이민종,마일리지,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),감사관 이민종,교육지원청,12.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),감사관 이민종,시책,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),감사관 이민종,정착,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),감사관 이민종,취약,4.0
