회수,의원명,단어,빈도수
제284회[정례회] (2018.11.01 ~ 2018.12.20),강서양천교육지원청교육장 심금순,안녕하십니까,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),강서양천교육지원청교육장 심금순,강서,8.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),강서양천교육지원청교육장 심금순,양천,8.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),강서양천교육지원청교육장 심금순,교육지원청,29.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),강서양천교육지원청교육장 심금순,교육장,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),강서양천교육지원청교육장 심금순,심금,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),강서양천교육지원청교육장 심금순,존경,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),강서양천교육지원청교육장 심금순,장인,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),강서양천교육지원청교육장 심금순,의정,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),강서양천교육지원청교육장 심금순,각별,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),강서양천교육지원청교육장 심금순,대하,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),강서양천교육지원청교육장 심금순,진심,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),강서양천교육지원청교육장 심금순,감사,5.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),강서양천교육지원청교육장 심금순,말씀,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),강서양천교육지원청교육장 심금순,매우,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),강서양천교육지원청교육장 심금순,서울특별시,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),강서양천교육지원청교육장 심금순,사무,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),강서양천교육지원청교육장 심금순,더욱,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),강서양천교육지원청교육장 심금순,소개,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),강서양천교육지원청교육장 심금순,생략,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),강서양천교육지원청교육장 심금순,박근석,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),강서양천교육지원청교육장 심금순,김연,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),강서양천교육지원청교육장 심금순,최성,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),강서양천교육지원청교육장 심금순,태빈,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),강서양천교육지원청교육장 심금순,최윤,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),강서양천교육지원청교육장 심금순,북부,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),강서양천교육지원청교육장 심금순,손창호,1.0
