회수,의원명,단어,빈도수
제284회[정례회] (2018.11.01 ~ 2018.12.20),강서양천교육지원청교육지원국장 홍민표,선서,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),강서양천교육지원청교육지원국장 홍민표,본인,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),강서양천교육지원청교육지원국장 홍민표,서울특별시,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),강서양천교육지원청교육지원국장 홍민표,지방자치법,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),강서양천교육지원청교육지원국장 홍민표,소관,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),강서양천교육지원청교육지원국장 홍민표,사무,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),강서양천교육지원청교육지원국장 홍민표,감사,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),강서양천교육지원청교육지원국장 홍민표,양심,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),강서양천교육지원청교육지원국장 홍민표,보탬,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),강서양천교육지원청교육지원국장 홍민표,그대로,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),강서양천교육지원청교육지원국장 홍민표,진술,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),강서양천교육지원청교육지원국장 홍민표,서면,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),강서양천교육지원청교육지원국장 홍민표,답변,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),강서양천교육지원청교육지원국장 홍민표,거짓,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),강서양천교육지원청교육지원국장 홍민표,위증,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),강서양천교육지원청교육지원국장 홍민표,맹세,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),강서양천교육지원청교육지원국장 홍민표,강서,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),강서양천교육지원청교육지원국장 홍민표,양천,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),강서양천교육지원청교육지원국장 홍민표,교육지원청,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),강서양천교육지원청교육지원국장 홍민표,홍민표,1.0
