회수,의원명,단어,빈도수
제284회[정례회] (2018.11.01 ~ 2018.12.20),과학전시관장 한봉희,안녕하십니까,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),과학전시관장 한봉희,서울특별시,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),과학전시관장 한봉희,전시관,12.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),과학전시관장 한봉희,한봉희,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),과학전시관장 한봉희,주시,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),과학전시관장 한봉희,존경,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),과학전시관장 한봉희,장인,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),과학전시관장 한봉희,김경,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),과학전시관장 한봉희,인구,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),과학전시관장 한봉희,부위,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),과학전시관장 한봉희,비롯,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),과학전시관장 한봉희,모시,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),과학전시관장 한봉희,매우,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),과학전시관장 한봉희,간부,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),과학전시관장 한봉희,소개,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),과학전시관장 한봉희,무부,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),과학전시관장 한봉희,나병,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),과학전시관장 한봉희,김호산,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),과학전시관장 한봉희,이화성,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),과학전시관장 한봉희,산업혁명,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),과학전시관장 한봉희,선도,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),과학전시관장 한봉희,융합,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),과학전시관장 한봉희,보고서,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),과학전시관장 한봉희,연혁,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),과학전시관장 한봉희,참고,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),과학전시관장 한봉희,예산,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),과학전시관장 한봉희,예산현,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),과학전시관장 한봉희,창의성,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),과학전시관장 한봉희,교사,7.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),과학전시관장 한봉희,전문성,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),과학전시관장 한봉희,소양,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),과학전시관장 한봉희,미션,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),과학전시관장 한봉희,별로,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),과학전시관장 한봉희,본관,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),과학전시관장 한봉희,남산,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),과학전시관장 한봉희,통한,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),과학전시관장 한봉희,탐구,8.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),과학전시관장 한봉희,신장,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),과학전시관장 한봉희,탐색,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),과학전시관장 한봉희,독서,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),과학전시관장 한봉희,강연,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),과학전시관장 한봉희,친환경,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),과학전시관장 한봉희,생태,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),과학전시관장 한봉희,인성,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),과학전시관장 한봉희,멘토링,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),과학전시관장 한봉희,제의,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),과학전시관장 한봉희,멘토,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),과학전시관장 한봉희,멘티,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),과학전시관장 한봉희,전람회,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),과학전시관장 한봉희,구결,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),과학전시관장 한봉희,영재교육,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),과학전시관장 한봉희,교육지원청,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),과학전시관장 한봉희,재반,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),과학전시관장 한봉희,직접,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),과학전시관장 한봉희,역청,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),과학전시관장 한봉희,전문화,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),과학전시관장 한봉희,활성화,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),과학전시관장 한봉희,메이커,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),과학전시관장 한봉희,스페이스,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),과학전시관장 한봉희,동아리,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),과학전시관장 한봉희,실험실,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),과학전시관장 한봉희,발간,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),과학전시관장 한봉희,실험,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),과학전시관장 한봉희,컨설팅단,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),과학전시관장 한봉희,초등학교,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),과학전시관장 한봉희,도심,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),과학전시관장 한봉희,생물,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),과학전시관장 한봉희,질적,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),과학전시관장 한봉희,첨단,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),과학전시관장 한봉희,자재,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),과학전시관장 한봉희,구교,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),과학전시관장 한봉희,원제,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),과학전시관장 한봉희,교과서,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),과학전시관장 한봉희,전시회,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),과학전시관장 한봉희,최신,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),과학전시관장 한봉희,동향,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),과학전시관장 한봉희,가을,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),과학전시관장 한봉희,축전,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),과학전시관장 한봉희,관악구,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),과학전시관장 한봉희,구로구,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),과학전시관장 한봉희,금천구,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),과학전시관장 한봉희,가상현실,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),과학전시관장 한봉희,실과,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),과학전시관장 한봉희,조성하,1.0
