회수,의원명,단어,빈도수
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육감 조희연,선서,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육감 조희연,본인,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육감 조희연,서울특별시,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육감 조희연,지방자치법,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육감 조희연,소관,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육감 조희연,사무,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육감 조희연,감사,15.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육감 조희연,양심,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육감 조희연,보탬,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육감 조희연,그대로,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육감 조희연,진술,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육감 조희연,서면,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육감 조희연,답변,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육감 조희연,거짓,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육감 조희연,위증,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육감 조희연,맹세,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육감 조희연,특별시,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육감 조희연,조희연,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육감 조희연,장인,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육감 조희연,김경,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육감 조희연,인구,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육감 조희연,부위,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육감 조희연,임기,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육감 조희연,래서,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육감 조희연,더욱,5.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육감 조희연,평소,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육감 조희연,성원,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육감 조희연,대하,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육감 조희연,비롯,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육감 조희연,진심,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육감 조희연,말씀,35.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육감 조희연,일관,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육감 조희연,마음가짐,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육감 조희연,바탕,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육감 조희연,걸음,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육감 조희연,주인공,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육감 조희연,배움,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육감 조희연,아침,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육감 조희연,거듭,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육감 조희연,다해,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육감 조희연,밑거름,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육감 조희연,깊이,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육감 조희연,나은,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육감 조희연,양질,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육감 조희연,앞서,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육감 조희연,간부,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육감 조희연,소개,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육감 조희연,김원,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육감 조희연,성연,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육감 조희연,정실,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육감 조희연,박건호,1.0
