회수,의원명,단어,빈도수
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,추진단,6.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,이병호,5.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,부서,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,건의,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,자문,10.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,일수,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,기억,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,일주일,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,기안,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,결재,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,상의,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,고요,6.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,국내,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,사의,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,건축가,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,아이디어,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,점도,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,지방자치단체,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,당사자,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,법률,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,의거,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,입찰,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,행정안전부,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,고시,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,금액,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,준용,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,교육활동,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,위임,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,아마,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,이기,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,부지면적,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,면적,7.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,방금,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,말씀,15.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,당선,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,건폐율,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,용적률,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,하층,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,건축법,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,계산,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,지상,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,돌출,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,건데,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,금년,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,주차장,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,축소,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,부적,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,교육부,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,과도,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,사비,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,토목,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,기계,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,용역,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,산출,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,아시,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,발주,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,건축사,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,대가,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,그다음,6.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,전기,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,전력,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,요령,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,보충,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,부연,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,국토부,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,감액,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,분쟁,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,명시,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,감액함,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,취지,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,교육재정,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,보시,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,보상,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,여서,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,허가,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,그거,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,지하,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,산정,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,예산,8.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,비도,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,거나,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,가이드라인,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,보상금,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,나름,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,염려,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,이해해,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,주시,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,내지,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,외부,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,투명,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,장점,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,국내외,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,서도,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,형태,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,필요성,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,개념,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,후년,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,연차,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,교무,7.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,모델링,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,제목,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,임의,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,그대로,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,구분,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,죄송,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,대략,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,실의,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육공간기획추진단장 이병호,부속,1.0
