회수,의원명,단어,빈도수
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육시설관리본부장 최영식,안녕하십니까,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육시설관리본부장 최영식,본부장,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육시설관리본부장 최영식,최영식,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육시설관리본부장 최영식,평소,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육시설관리본부장 최영식,성원,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육시설관리본부장 최영식,대하,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육시설관리본부장 최영식,장인,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육시설관리본부장 최영식,비롯,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육시설관리본부장 최영식,진심,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육시설관리본부장 최영식,감사,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육시설관리본부장 최영식,말씀,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육시설관리본부장 최영식,앞서,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육시설관리본부장 최영식,먼저,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육시설관리본부장 최영식,간부,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육시설관리본부장 최영식,소개,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육시설관리본부장 최영식,김경희,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육시설관리본부장 최영식,무부,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육시설관리본부장 최영식,김재환,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육시설관리본부장 최영식,관리부장,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육시설관리본부장 최영식,순서,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육시설관리본부장 최영식,배부,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육시설관리본부장 최영식,책자,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육시설관리본부장 최영식,나머지,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육시설관리본부장 최영식,참고,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육시설관리본부장 최영식,예산,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육시설관리본부장 최영식,금년,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육시설관리본부장 최영식,예산현,1.0
