회수,의원명,단어,빈도수
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육시설안전과장 한규하,안전,8.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육시설안전과장 한규하,한규하,6.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육시설안전과장 한규하,조물,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육시설안전과장 한규하,보강,7.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육시설안전과장 한규하,등급,6.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육시설안전과장 한규하,상향,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육시설안전과장 한규하,수가,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육시설안전과장 한규하,거기,10.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육시설안전과장 한규하,정밀,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육시설안전과장 한규하,보라,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육시설안전과장 한규하,기둥,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육시설안전과장 한규하,창호,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육시설안전과장 한규하,바닥,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육시설안전과장 한규하,사용성,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육시설안전과장 한규하,문제기,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육시설안전과장 한규하,매년,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육시설안전과장 한규하,그다음,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육시설안전과장 한규하,동수,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육시설안전과장 한규하,실질,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육시설안전과장 한규하,연한,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육시설안전과장 한규하,말씀,7.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육시설안전과장 한규하,보통,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육시설안전과장 한규하,철근콘크리트,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육시설안전과장 한규하,권순선,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육시설안전과장 한규하,예산,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육시설안전과장 한규하,개축,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육시설안전과장 한규하,타당성,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육시설안전과장 한규하,표준,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육시설안전과장 한규하,성능,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육시설안전과장 한규하,지표,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육시설안전과장 한규하,용역,1.0
