회수,의원명,단어,빈도수
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육재정과장 조성남,교육재정,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육재정과장 조성남,성남,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육재정과장 조성남,명시,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육재정과장 조성남,거기,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육재정과장 조성남,상대자,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육재정과장 조성남,대가,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육재정과장 조성남,금액,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육재정과장 조성남,용역,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육재정과장 조성남,제대로,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육재정과장 조성남,입력,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육재정과장 조성남,듣기,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육재정과장 조성남,국민신문고,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육재정과장 조성남,답변,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육재정과장 조성남,매각,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육재정과장 조성남,거주,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육재정과장 조성남,공항,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육재정과장 조성남,방화,6.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육재정과장 조성남,초등학교,5.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육재정과장 조성남,건폐율,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육재정과장 조성남,그다음,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육재정과장 조성남,구획,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육재정과장 조성남,정리,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육재정과장 조성남,정형,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육재정과장 조성남,화가,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육재정과장 조성남,화관,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육재정과장 조성남,그거,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육재정과장 조성남,초가,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육재정과장 조성남,필지,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육재정과장 조성남,고요,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육재정과장 조성남,말씀,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육재정과장 조성남,안쪽,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육재정과장 조성남,그게,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육재정과장 조성남,지난번,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육재정과장 조성남,보류,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육재정과장 조성남,연간,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육재정과장 조성남,조례,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육재정과장 조성남,지수,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육재정과장 조성남,산출,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육재정과장 조성남,가격,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육재정과장 조성남,기록물,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육재정과장 조성남,정보화,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육재정과장 조성남,구상,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육재정과장 조성남,비비,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육재정과장 조성남,예산,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육재정과장 조성남,도해,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육재정과장 조성남,연초,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육재정과장 조성남,설문조사,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육재정과장 조성남,수합,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육재정과장 조성남,실질,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육재정과장 조성남,알기,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육재정과장 조성남,의원님,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육재정과장 조성남,요금,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육재정과장 조성남,징수,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육재정과장 조성남,면적,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육재정과장 조성남,수가,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육재정과장 조성남,난방,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육재정과장 조성남,냉방,1.0
