회수,의원명,단어,빈도수
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,존경,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,장인,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,김경,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,부원장,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,인구,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,부위,8.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,안녕하십니까,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,서울특별시,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,박건호,26.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,최대한,7.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,주시,5.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,고견,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,더욱,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,앞서,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,간부,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,소개,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,서경수,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,유아교육,8.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,정혜,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,초등교육,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,중등교육,6.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,강연,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,송재,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,먼저,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,보고서,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,전문직,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,부서,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,참고,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,예산,9.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,직제,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,원리,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,맞이,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,그간,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,심화,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,종합예술,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,내외,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,연습실,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,공연장,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,초등학교,10.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,잠재,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,함양,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,영재교육,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,실화,5.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,융합,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,문제해결,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,노후,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,실험실,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,소외,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,계층,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,메이커,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,창작,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육정책국장 박건호,스페이스,1.0
