회수,의원명,단어,빈도수
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,안녕하십니까,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,교육행정,28.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,장석윤,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,존경,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,장인,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,김경,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,부위,13.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,인구,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,매우,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,먼저,5.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,소개,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,한창화,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,성남,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,교육재정,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,한규하,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,안전,19.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,정보화,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,이병호,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,추진단,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,예산,28.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,학령,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,유아교육,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,금년,6.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,부응,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,더욱,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,통한,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,강서구,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,서진,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,서초구,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,나래,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,개교,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,중랑구,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,동진,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,토지,14.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,소유자,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,격차,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,후기,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,배정,8.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,균형발전,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,도모,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,투명,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,건전성,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,사립학교,14.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,학교법인,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,회계,6.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,책무,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,나침판,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,활성화,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,초등학교,10.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,대행,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,능동,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,효율,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,햇빛,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,발전소,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,검증,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,급식,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,식당,5.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,증축,8.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,실내,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,노후,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,정밀,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,내진,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,보강,9.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,석면,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,사이버,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,보안,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,개인정보,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,해킹,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,공격,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,대응,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,유출,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,자산,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,전산,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,재해,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,복구,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,재난,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,유실,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,자원,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,소실,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,통폐합,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,조화,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,참고,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,주시,17.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,사무,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,감사,7.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,말씀,53.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,애정,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,보고서,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,실음,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,진상,5.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,관점,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,인접,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,사장,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,나름,35.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,비전문가,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,로서,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,마찬가지,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,남아,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,존해,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,규명,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,최대한,18.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,정리,6.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,권한,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,법률자문,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,아마,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,관악,10.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,교육지원청,27.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육행정국장 장석윤,중이,3.0
