회수,의원명,단어,빈도수
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육혁신과장 서경수,서경수,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육혁신과장 서경수,고요,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육혁신과장 서경수,차지,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육혁신과장 서경수,기억,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육혁신과장 서경수,부서,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육혁신과장 서경수,질적,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육혁신과장 서경수,무게,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육혁신과장 서경수,원래,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육혁신과장 서경수,교육과정,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육혁신과장 서경수,그다음,5.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육혁신과장 서경수,활성화,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육혁신과장 서경수,부합,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육혁신과장 서경수,추구,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육혁신과장 서경수,컨설팅이,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육혁신과장 서경수,얘기,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육혁신과장 서경수,효율,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육혁신과장 서경수,초기,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육혁신과장 서경수,구성원,6.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육혁신과장 서경수,부적,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육혁신과장 서경수,자발,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육혁신과장 서경수,자율성,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육혁신과장 서경수,사후,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육혁신과장 서경수,고충,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육혁신과장 서경수,방금,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육혁신과장 서경수,말씀,10.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육혁신과장 서경수,대하,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육혁신과장 서경수,교의,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육혁신과장 서경수,컴퓨터,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육혁신과장 서경수,교가,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육혁신과장 서경수,접속,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육혁신과장 서경수,커버,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육혁신과장 서경수,용량,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육혁신과장 서경수,유저,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육혁신과장 서경수,클라우드,5.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육혁신과장 서경수,서버,8.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육혁신과장 서경수,단말기,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육혁신과장 서경수,통상,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육혁신과장 서경수,주기,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육혁신과장 서경수,직접,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육혁신과장 서경수,기조,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),교육혁신과장 서경수,시오,1.0
