회수,의원명,단어,빈도수
제284회[정례회] (2018.11.01 ~ 2018.12.20),권순선 위원,상세,8.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),권순선 위원,분장,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),권순선 위원,편람,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),권순선 위원,연설,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),권순선 위원,말씀,64.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),권순선 위원,다양성,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),권순선 위원,얘기,33.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),권순선 위원,밀착,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),권순선 위원,바퀴,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),권순선 위원,가야,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),권순선 위원,트랙,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),권순선 위원,민주주의,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),권순선 위원,교육제도,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),권순선 위원,제대로,41.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),권순선 위원,실행,11.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),권순선 위원,돌리시,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),권순선 위원,내야,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),권순선 위원,의문,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),권순선 위원,감사,60.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),권순선 위원,체적,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),권순선 위원,부적정,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),권순선 위원,난무,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),권순선 위원,과거,9.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),권순선 위원,원래,9.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),권순선 위원,불공정,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),권순선 위원,도대체,6.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),권순선 위원,지점,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),권순선 위원,답변,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),권순선 위원,배움,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),권순선 위원,교사,33.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),권순선 위원,정말,18.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),권순선 위원,정상화,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),권순선 위원,고요,6.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),권순선 위원,한계,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),권순선 위원,기피,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),권순선 위원,부모,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),권순선 위원,증폭,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),권순선 위원,계시,21.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),권순선 위원,돌파,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),권순선 위원,견인,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),권순선 위원,별로,12.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),권순선 위원,보지,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),권순선 위원,단언,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),권순선 위원,진통,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),권순선 위원,열정,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),권순선 위원,안착,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),권순선 위원,두런두런,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),권순선 위원,래야,6.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),권순선 위원,자원,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),권순선 위원,활동가,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),권순선 위원,행정감사,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),권순선 위원,상상,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),권순선 위원,초월,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),권순선 위원,성적,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),권순선 위원,기금,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),권순선 위원,회계,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),권순선 위원,초과근무,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),권순선 위원,진짜,12.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),권순선 위원,직접,8.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),권순선 위원,총괄,13.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),권순선 위원,대치,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),권순선 위원,고지,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),권순선 위원,개년,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),권순선 위원,거기,103.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),권순선 위원,연차,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),권순선 위원,하부,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),권순선 위원,장차,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),권순선 위원,듭니,10.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),권순선 위원,부서,13.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),권순선 위원,생기,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),권순선 위원,그게,24.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),권순선 위원,문서,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),권순선 위원,고지도,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),권순선 위원,똑바로,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),권순선 위원,사후,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),권순선 위원,서로,5.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),권순선 위원,부적,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),권순선 위원,뭔가,21.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),권순선 위원,무과,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),권순선 위원,은폐,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),권순선 위원,불복종,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),권순선 위원,먼저,9.0
