회수,의원명,단어,빈도수
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,날씨,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,청명,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,교육비,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,말씀,55.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,거기,21.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,슬로건,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,그거,19.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,워드,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,다양성,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,매진,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,정말,29.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,매력,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,정규,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,이수,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,자동,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,체득,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,리라,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,충실,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,기하,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,신지,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,임시회,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,그다음,19.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,교사,29.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,제대로,11.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,진정,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,실질,6.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,예산,19.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,결과물,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,도출,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,강구,7.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,답변,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,결합,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,중복,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,유미,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,인구,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,실장,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,구성원,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,근로,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,과거,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,개교,7.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,기념일,7.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,애정,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,무직,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,근로자,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,유급,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,휴일,5.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,봉제,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,회계,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,노동조합,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,아마,16.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,재량,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,불구,10.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,근로계약서,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,인건비,5.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,책정,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,이분,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,안전,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,그날,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,바람,6.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,마찬가지,7.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,가입,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,리지,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,통계,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,이처럼,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,효율,5.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,통폐합,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,어서,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,얘기,18.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,참고,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,김경,6.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,감사,11.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,청렴,11.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,하위,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,위로,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,연속,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,탈피,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,도약,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,장족,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,급식,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,영양사,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,후속,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,샘플,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,샘플링,5.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,납품,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,하나요,6.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,숙명여고,8.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,시험지,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,라든지,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,사후,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,간담,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,식사,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,대두,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,비리,6.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,이기,7.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,조처,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,보시,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,어쨌든,21.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,부자,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,부녀,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,모자,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,모녀,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,명입,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,어쨌거,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,한번,11.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,고양이,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,생선,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,미로,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,차후,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,궁금증,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,보강,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,아무,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,배제,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,끼리,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,아빠,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,취하,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,자치구,6.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,숙명,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,막상,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,여기저기,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,명의,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,학부모,7.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,최소한,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,상의,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,남아,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,자정,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,척도,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,감점,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,표집,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,교육지원청,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김경 위원,설문조사,1.0
