회수,의원명,단어,빈도수
제284회[정례회] (2018.11.01 ~ 2018.12.20),김수규 위원,김수,14.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김수규 위원,사립학교,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김수규 위원,부적정,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김수규 위원,복잡,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김수규 위원,그다음,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김수규 위원,구상,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김수규 위원,진심,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김수규 위원,감사,24.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김수규 위원,교육비,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김수규 위원,전과,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김수규 위원,지표,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김수규 위원,맥락,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김수규 위원,따로따로,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김수규 위원,느낌,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김수규 위원,연관,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김수규 위원,듭니,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김수규 위원,신체,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김수규 위원,정신,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김수규 위원,인성,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김수규 위원,신장,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김수규 위원,포션,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김수규 위원,미약,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김수규 위원,답변,16.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김수규 위원,예산,21.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김수규 위원,이나,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김수규 위원,참고,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김수규 위원,시오,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김수규 위원,경과,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김수규 위원,중복,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김수규 위원,실장,5.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김수규 위원,달라,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),김수규 위원,거기,7.0
