회수,의원명,단어,빈도수
제284회[정례회] (2018.11.01 ~ 2018.12.20),다단구조안전기술사사무소사장 김광균,다단,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),다단구조안전기술사사무소사장 김광균,김광균,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),다단구조안전기술사사무소사장 김광균,줄눈,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),다단구조안전기술사사무소사장 김광균,옹벽,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),다단구조안전기술사사무소사장 김광균,측면,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),다단구조안전기술사사무소사장 김광균,우측,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),다단구조안전기술사사무소사장 김광균,미리,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),다단구조안전기술사사무소사장 김광균,균열,13.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),다단구조안전기술사사무소사장 김광균,말씀,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),다단구조안전기술사사무소사장 김광균,바닥,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),다단구조안전기술사사무소사장 김광균,차이,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),다단구조안전기술사사무소사장 김광균,관공서,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),다단구조안전기술사사무소사장 김광균,착공,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),다단구조안전기술사사무소사장 김광균,보통,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),다단구조안전기술사사무소사장 김광균,인접,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),다단구조안전기술사사무소사장 김광균,나중,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),다단구조안전기술사사무소사장 김광균,추적,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),다단구조안전기술사사무소사장 김광균,좌측,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),다단구조안전기술사사무소사장 김광균,기억,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),다단구조안전기술사사무소사장 김광균,자로,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),다단구조안전기술사사무소사장 김광균,니은,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),다단구조안전기술사사무소사장 김광균,형식,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),다단구조안전기술사사무소사장 김광균,각부,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),다단구조안전기술사사무소사장 김광균,계측기,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),다단구조안전기술사사무소사장 김광균,양쪽,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),다단구조안전기술사사무소사장 김광균,박아,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),다단구조안전기술사사무소사장 김광균,누가,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),다단구조안전기술사사무소사장 김광균,인위,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),다단구조안전기술사사무소사장 김광균,파손,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),다단구조안전기술사사무소사장 김광균,가능성,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),다단구조안전기술사사무소사장 김광균,보고서,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),다단구조안전기술사사무소사장 김광균,먼저,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),다단구조안전기술사사무소사장 김광균,태풍,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),다단구조안전기술사사무소사장 김광균,우기,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),다단구조안전기술사사무소사장 김광균,한번,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),다단구조안전기술사사무소사장 김광균,얘기,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),다단구조안전기술사사무소사장 김광균,전화,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),다단구조안전기술사사무소사장 김광균,나진,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),다단구조안전기술사사무소사장 김광균,기적,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),다단구조안전기술사사무소사장 김광균,편차,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),다단구조안전기술사사무소사장 김광균,갑자기,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),다단구조안전기술사사무소사장 김광균,수가,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),다단구조안전기술사사무소사장 김광균,위험성,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),다단구조안전기술사사무소사장 김광균,연락,1.0
