회수,의원명,단어,빈도수
제284회[정례회] (2018.11.01 ~ 2018.12.20),동작관악교육지원청교육장 민병관,재원,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),동작관악교육지원청교육장 민병관,나머지,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),동작관악교육지원청교육장 민병관,통한,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),동작관악교육지원청교육장 민병관,초등학교,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),동작관악교육지원청교육장 민병관,학습장,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),동작관악교육지원청교육장 민병관,전지,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),동작관악교육지원청교육장 민병관,대략,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),동작관악교육지원청교육장 민병관,추산,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),동작관악교육지원청교육장 민병관,진상,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),동작관악교육지원청교육장 민병관,규명,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),동작관악교육지원청교육장 민병관,청구,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),동작관악교육지원청교육장 민병관,가압류,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),동작관악교육지원청교육장 민병관,강구,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),동작관악교육지원청교육장 민병관,직접,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),동작관악교육지원청교육장 민병관,상대로,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),동작관악교육지원청교육장 민병관,지원청,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),동작관악교육지원청교육장 민병관,주무관,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),동작관악교육지원청교육장 민병관,재난,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),동작관악교육지원청교육장 민병관,안전,7.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),동작관악교육지원청교육장 민병관,건의,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),동작관악교육지원청교육장 민병관,실질,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),동작관악교육지원청교육장 민병관,전화,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),동작관악교육지원청교육장 민병관,실장,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),동작관악교육지원청교육장 민병관,동작,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),동작관악교육지원청교육장 민병관,관악,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),동작관악교육지원청교육장 민병관,교육지원청,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),동작관악교육지원청교육장 민병관,민병,1.0
