회수,의원명,단어,빈도수
제284회[정례회] (2018.11.01 ~ 2018.12.20),마포평생학습관장 정재헌,안녕하십니까,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),마포평생학습관장 정재헌,마포평생학습관,8.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),마포평생학습관장 정재헌,정재헌,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),마포평생학습관장 정재헌,서울특별시,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),마포평생학습관장 정재헌,사무,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),마포평생학습관장 정재헌,감사,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),마포평생학습관장 정재헌,존경,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),마포평생학습관장 정재헌,장인,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),마포평생학습관장 정재헌,모시,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),마포평생학습관장 정재헌,평생,18.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),마포평생학습관장 정재헌,습관,10.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),마포평생학습관장 정재헌,앞서,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),마포평생학습관장 정재헌,관장,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),마포평생학습관장 정재헌,소개,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),마포평생학습관장 정재헌,고덕평생학습관,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),마포평생학습관장 정재헌,영경,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),마포평생학습관장 정재헌,노원,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),마포평생학습관장 정재헌,정해철,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),마포평생학습관장 정재헌,전철,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),마포평생학습관장 정재헌,환승,1.0
