회수,의원명,단어,빈도수
제284회[정례회] (2018.11.01 ~ 2018.12.20),민주시민교육과장 송재범,송재,6.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),민주시민교육과장 송재범,범입,6.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),민주시민교육과장 송재범,다문화,7.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),민주시민교육과장 송재범,이중,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),민주시민교육과장 송재범,밀집,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),민주시민교육과장 송재범,전개,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),민주시민교육과장 송재범,한번,5.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),민주시민교육과장 송재범,학업,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),민주시민교육과장 송재범,수치,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),민주시민교육과장 송재범,보이,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),민주시민교육과장 송재범,차이,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),민주시민교육과장 송재범,학부모,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),민주시민교육과장 송재범,해외,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),민주시민교육과장 송재범,적응,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),민주시민교육과장 송재범,탈률,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),민주시민교육과장 송재범,통계,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),민주시민교육과장 송재범,질병,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),민주시민교육과장 송재범,미인,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),민주시민교육과장 송재범,유학,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),민주시민교육과장 송재범,출국,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),민주시민교육과장 송재범,거기,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),민주시민교육과장 송재범,필요성,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),민주시민교육과장 송재범,절실,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),민주시민교육과장 송재범,주년,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),민주시민교육과장 송재범,이기,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),민주시민교육과장 송재범,별로,3.0
