회수,의원명,단어,빈도수
제284회[정례회] (2018.11.01 ~ 2018.12.20),서울상도어린이집원장 김광미,먼저,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),서울상도어린이집원장 김광미,상식,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),서울상도어린이집원장 김광미,그다음,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),서울상도어린이집원장 김광미,순서,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),서울상도어린이집원장 김광미,한번,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),서울상도어린이집원장 김광미,출장,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),서울상도어린이집원장 김광미,주무관,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),서울상도어린이집원장 김광미,말씀,9.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),서울상도어린이집원장 김광미,회신,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),서울상도어린이집원장 김광미,보시,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),서울상도어린이집원장 김광미,날짜,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),서울상도어린이집원장 김광미,일련,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),서울상도어린이집원장 김광미,그게,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),서울상도어린이집원장 김광미,일주일,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),서울상도어린이집원장 김광미,예산,5.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),서울상도어린이집원장 김광미,답변,6.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),서울상도어린이집원장 김광미,긍정,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),서울상도어린이집원장 김광미,가기,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),서울상도어린이집원장 김광미,위성,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),서울상도어린이집원장 김광미,단비,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),서울상도어린이집원장 김광미,징후,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),서울상도어린이집원장 김광미,옹벽,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),서울상도어린이집원장 김광미,원래,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),서울상도어린이집원장 김광미,실눈,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),서울상도어린이집원장 김광미,살짝,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),서울상도어린이집원장 김광미,이격,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),서울상도어린이집원장 김광미,센티,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),서울상도어린이집원장 김광미,안전,8.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),서울상도어린이집원장 김광미,문의,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),서울상도어린이집원장 김광미,계측기,5.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),서울상도어린이집원장 김광미,상세,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),서울상도어린이집원장 김광미,위험성,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),서울상도어린이집원장 김광미,자문,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),서울상도어린이집원장 김광미,아침,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),서울상도어린이집원장 김광미,출근,2.0
