회수,의원명,단어,빈도수
제284회[정례회] (2018.11.01 ~ 2018.12.20),성동광진교육지원청교육장 윤오영,광진,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성동광진교육지원청교육장 윤오영,교육지원청,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성동광진교육지원청교육장 윤오영,교육장,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성동광진교육지원청교육장 윤오영,윤오영,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성동광진교육지원청교육장 윤오영,파면,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성동광진교육지원청교육장 윤오영,해임,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성동광진교육지원청교육장 윤오영,정직,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성동광진교육지원청교육장 윤오영,아마,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성동광진교육지원청교육장 윤오영,말씀,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성동광진교육지원청교육장 윤오영,견책,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성동광진교육지원청교육장 윤오영,감봉,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성동광진교육지원청교육장 윤오영,교사,7.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성동광진교육지원청교육장 윤오영,전수,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성동광진교육지원청교육장 윤오영,고요,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성동광진교육지원청교육장 윤오영,이분,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성동광진교육지원청교육장 윤오영,체육교사,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성동광진교육지원청교육장 윤오영,이기,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성동광진교육지원청교육장 윤오영,자세,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성동광진교육지원청교육장 윤오영,접촉,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성동광진교육지원청교육장 윤오영,허리,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성동광진교육지원청교육장 윤오영,라라,1.0
