회수,의원명,단어,빈도수
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,안녕하십니까,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,성북,15.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,강북,15.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,교육지원청,15.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,교육장,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,장석,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,진입,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,존경,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,장인,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,의정,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,성원,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,대하,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,진심,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,감사,14.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,말씀,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,매우,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,서울특별시,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,사무,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,다해,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,미리,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,배부,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,발췌,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,양해,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,순서,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,먼저,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,과로,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,비롯,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,원수,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,평생교육,5.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,교습,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,소가,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,예산,5.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,교육과정,8.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,선도,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,안성맞춤,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,청소용역,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,교구,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,한글,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,학부모,8.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,정착,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,이해도,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,공교육,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,발간,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,연간,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,총괄,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,개교,15.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,전문성,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,메이커,9.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,스스로,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,상상,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,기기,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,도구,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,직접,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,프로젝트,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,돈암,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,초등학교,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,발명,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,스페이스,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,거점,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,유스,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,리더,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,신장,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,인성,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,감수성,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,함양,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,특색,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,실화,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,국악,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,무용,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,연극,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,애니메이션,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,종합예술,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,뮤지컬,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,영화,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,분담,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,중이,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,파견,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,통한,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,자문,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,안전교육,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,나눔,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,장학,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,유아교육,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,네트워크,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,정의,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,차등,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,복지,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,취약,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,계층,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,그림책,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,두런두런,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,소득,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,교육비,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,도제,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,부진,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,두드림,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,모니터링,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,위생,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,급식,7.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,식당,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,증축,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,노후,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,조리기구,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,안전,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,식중독,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,유관,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,안전성,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,교직원,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,활성화,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),성북강북교육지원청교육장 장석진,마인드,1.0
