회수,의원명,단어,빈도수
제284회[정례회] (2018.11.01 ~ 2018.12.20),아주엔지니어링상무 이주영,아주,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),아주엔지니어링상무 이주영,엔지니어링,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),아주엔지니어링상무 이주영,이주영,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),아주엔지니어링상무 이주영,조합,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),아주엔지니어링상무 이주영,토목공사,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),아주엔지니어링상무 이주영,얘기,5.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),아주엔지니어링상무 이주영,사나,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),아주엔지니어링상무 이주영,전희,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),아주엔지니어링상무 이주영,장님,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),아주엔지니어링상무 이주영,말씀,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),아주엔지니어링상무 이주영,이해당사자,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),아주엔지니어링상무 이주영,상충,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),아주엔지니어링상무 이주영,답변,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),아주엔지니어링상무 이주영,동이,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),아주엔지니어링상무 이주영,우측,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),아주엔지니어링상무 이주영,좌측,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),아주엔지니어링상무 이주영,소일,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),아주엔지니어링상무 이주영,일링,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),아주엔지니어링상무 이주영,토류판,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),아주엔지니어링상무 이주영,거기,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),아주엔지니어링상무 이주영,입니,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),아주엔지니어링상무 이주영,문제점,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),아주엔지니어링상무 이주영,보편,2.0
