회수,의원명,단어,빈도수
제284회[정례회] (2018.11.01 ~ 2018.12.20),양민규 위원,양민,13.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),양민규 위원,진척,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),양민규 위원,영등포,10.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),양민규 위원,선거구,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),양민규 위원,무상급식,8.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),양민규 위원,계시,6.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),양민규 위원,간담,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),양민규 위원,말씀,89.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),양민규 위원,며칠,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),양민규 위원,박원순,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),양민규 위원,시장님,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),양민규 위원,자치구,7.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),양민규 위원,장님,6.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),양민규 위원,불과,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),양민규 위원,실질,9.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),양민규 위원,서도,8.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),양민규 위원,취지,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),양민규 위원,그대로,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),양민규 위원,연출,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),양민규 위원,청장,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),양민규 위원,제대로,23.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),양민규 위원,반복,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),양민규 위원,일어나고,7.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),양민규 위원,강서,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),양민규 위원,기억,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),양민규 위원,크게,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),양민규 위원,측면,11.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),양민규 위원,타격,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),양민규 위원,일맥상통,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),양민규 위원,추적,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),양민규 위원,평생교육,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),양민규 위원,여하튼,22.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),양민규 위원,즉각,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),양민규 위원,팩트,7.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),양민규 위원,불평,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),양민규 위원,불만,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),양민규 위원,그게,12.0
