회수,의원명,단어,빈도수
제284회[정례회] (2018.11.01 ~ 2018.12.20),영광종합건설회장 최명규,시공,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),영광종합건설회장 최명규,말씀,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),영광종합건설회장 최명규,도면,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),영광종합건설회장 최명규,그대로,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),영광종합건설회장 최명규,공법,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),영광종합건설회장 최명규,문제점,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),영광종합건설회장 최명규,감리,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),영광종합건설회장 최명규,안전,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),영광종합건설회장 최명규,얘기,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),영광종합건설회장 최명규,옹벽,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),영광종합건설회장 최명규,파보,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),영광종합건설회장 최명규,쓰레기,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),영광종합건설회장 최명규,폐기물,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),영광종합건설회장 최명규,다량,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),영광종합건설회장 최명규,그게,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),영광종합건설회장 최명규,반려,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),영광종합건설회장 최명규,소일,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),영광종합건설회장 최명규,일링,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),영광종합건설회장 최명규,폭우,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),영광종합건설회장 최명규,며칠,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),영광종합건설회장 최명규,싱크홀,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),영광종합건설회장 최명규,내지,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),영광종합건설회장 최명규,물이,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),영광종합건설회장 최명규,토압,1.0
