회수,의원명,단어,빈도수
제284회[정례회] (2018.11.01 ~ 2018.12.20),예산담당관 황현택,예산,9.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),예산담당관 황현택,황현,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),예산담당관 황현택,복지,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),예산담당관 황현택,매년,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),예산담당관 황현택,결산,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),예산담당관 황현택,부서,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),예산담당관 황현택,사후,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),예산담당관 황현택,서류,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),예산담당관 황현택,감사,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),예산담당관 황현택,그게,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),예산담당관 황현택,수정,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),예산담당관 황현택,역청,5.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),예산담당관 황현택,고유,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),예산담당관 황현택,배분,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),예산담당관 황현택,배정,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),예산담당관 황현택,예산현,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),예산담당관 황현택,연도,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),예산담당관 황현택,금액,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),예산담당관 황현택,중간,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),예산담당관 황현택,특교,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),예산담당관 황현택,사정,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),예산담당관 황현택,균형,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),예산담당관 황현택,회계,5.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),예산담당관 황현택,교육비,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),예산담당관 황현택,특별회계,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),예산담당관 황현택,고요,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),예산담당관 황현택,얘기,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),예산담당관 황현택,발전기,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),예산담당관 황현택,금회,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),예산담당관 황현택,전출,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),예산담당관 황현택,제의,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),예산담당관 황현택,출금,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),예산담당관 황현택,세입,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),예산담당관 황현택,그다음,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),예산담당관 황현택,학부모,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),예산담당관 황현택,수입,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),예산담당관 황현택,외부,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),예산담당관 황현택,지자체,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),예산담당관 황현택,평생,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),예산담당관 황현택,자치구,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),예산담당관 황현택,재원,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),예산담당관 황현택,억이,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),예산담당관 황현택,추경,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),예산담당관 황현택,어저께,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),예산담당관 황현택,삼자,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),예산담당관 황현택,구가,1.0
