회수,의원명,단어,빈도수
제284회[정례회] (2018.11.01 ~ 2018.12.20),위원장 장인홍,의석,21.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),위원장 장인홍,정돈,21.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),위원장 장인홍,존경,9.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),위원장 장인홍,안녕하십니까,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),위원장 장인홍,의정,5.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),위원장 장인홍,노고,8.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),위원장 장인홍,참으로,10.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),위원장 장인홍,조희연,11.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),위원장 장인홍,비롯,6.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),위원장 장인홍,서도,7.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),위원장 장인홍,사무,113.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),위원장 장인홍,감사,298.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),위원장 장인홍,수감,21.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),위원장 장인홍,수고,204.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),위원장 장인홍,정례,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),위원장 장인홍,교육지원청,32.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),위원장 장인홍,예산안,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),위원장 장인홍,조례,37.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),위원장 장인홍,효율,13.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),위원장 장인홍,청과,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),위원장 장인홍,별로,13.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),위원장 장인홍,지방자치법,14.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),위원장 장인홍,서울특별시,32.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),위원장 장인홍,앞서,16.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),위원장 장인홍,말씀,80.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),위원장 장인홍,교육행정,19.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),위원장 장인홍,차기,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),위원장 장인홍,로서,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),위원장 장인홍,지향,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),위원장 장인홍,구현,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),위원장 장인홍,위함,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),위원장 장인홍,방어,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),위원장 장인홍,자세,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),위원장 장인홍,대응,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),위원장 장인홍,임해,9.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),위원장 장인홍,발상,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),위원장 장인홍,스스로,8.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),위원장 장인홍,열매,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),위원장 장인홍,먼저,34.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),위원장 장인홍,선행,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),위원장 장인홍,일련,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),위원장 장인홍,형태,13.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),위원장 장인홍,회계,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),위원장 장인홍,비리,8.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),위원장 장인홍,약자,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),위원장 장인홍,복무,10.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),위원장 장인홍,요원,13.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),위원장 장인홍,교사,23.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),위원장 장인홍,폭행,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),위원장 장인홍,일도,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),위원장 장인홍,특성화고,18.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),위원장 장인홍,노래,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),위원장 장인홍,천만,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),위원장 장인홍,유감,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),위원장 장인홍,사태,12.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),위원장 장인홍,심각,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),위원장 장인홍,직시,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),위원장 장인홍,사후,7.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),위원장 장인홍,땜질,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),위원장 장인홍,처방,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),위원장 장인홍,뿌리,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),위원장 장인홍,각오,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),위원장 장인홍,더욱,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),위원장 장인홍,원님,5.0
