회수,의원명,단어,빈도수
제284회[정례회] (2018.11.01 ~ 2018.12.20),유아교육과장 정혜손,달라,5.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),유아교육과장 정혜손,부모님,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),유아교육과장 정혜손,오신,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),유아교육과장 정혜손,역청,7.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),유아교육과장 정혜손,전혀,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),유아교육과장 정혜손,여태,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),유아교육과장 정혜손,장님,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),유아교육과장 정혜손,박용진,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),유아교육과장 정혜손,학부모,5.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),유아교육과장 정혜손,오시,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),유아교육과장 정혜손,정식,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),유아교육과장 정혜손,병설,5.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),유아교육과장 정혜손,초등학교,10.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),유아교육과장 정혜손,의원님,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),유아교육과장 정혜손,얘기,12.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),유아교육과장 정혜손,액수,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),유아교육과장 정혜손,착오,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),유아교육과장 정혜손,정말,9.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),유아교육과장 정혜손,감사,18.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),유아교육과장 정혜손,대답,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),유아교육과장 정혜손,예전,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),유아교육과장 정혜손,국무조정실,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),유아교육과장 정혜손,기억,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),유아교육과장 정혜손,알기,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),유아교육과장 정혜손,계시,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),유아교육과장 정혜손,수가,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),유아교육과장 정혜손,수행,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),유아교육과장 정혜손,이기,6.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),유아교육과장 정혜손,수급,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),유아교육과장 정혜손,학비,8.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),유아교육과장 정혜손,관실,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),유아교육과장 정혜손,환수,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),유아교육과장 정혜손,권유,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),유아교육과장 정혜손,성격,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),유아교육과장 정혜손,횡령죄,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),유아교육과장 정혜손,성립,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),유아교육과장 정혜손,유아교육,17.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),유아교육과장 정혜손,정혜,10.0
