회수,의원명,단어,빈도수
제284회[정례회] (2018.11.01 ~ 2018.12.20),장상기 위원,예산,40.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),장상기 위원,구별,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),장상기 위원,안전,23.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),장상기 위원,매뉴얼,14.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),장상기 위원,상기,21.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),장상기 위원,양민,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),장상기 위원,위임,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),장상기 위원,사무,7.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),장상기 위원,지방자치단체,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),장상기 위원,고유,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),장상기 위원,자치사무,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),장상기 위원,지자체,17.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),장상기 위원,논쟁,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),장상기 위원,불과,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),장상기 위원,전만,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),장상기 위원,교육부,5.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),장상기 위원,자꾸,19.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),장상기 위원,나머지,16.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),장상기 위원,수가,18.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),장상기 위원,이기,6.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),장상기 위원,형태,31.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),장상기 위원,무상급식,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),장상기 위원,시나,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),장상기 위원,듭니,7.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),장상기 위원,균등,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),장상기 위원,격차,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),장상기 위원,얘기,163.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),장상기 위원,시장님,1.0
