회수,의원명,단어,빈도수
제284회[정례회] (2018.11.01 ~ 2018.12.20),전병주 위원,공직자,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),전병주 위원,면서,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),전병주 위원,신분,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),전병주 위원,헌법,15.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),전병주 위원,중립성,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),전병주 위원,법률,7.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),전병주 위원,평소,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),전병주 위원,사견,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),전병주 위원,전제,5.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),전병주 위원,외적인,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),전병주 위원,전적,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),전병주 위원,동감,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),전병주 위원,조희연,11.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),전병주 위원,측면,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),전병주 위원,아주,7.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),전병주 위원,해박,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),전병주 위원,지식,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),전병주 위원,서두,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),전병주 위원,소득,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),전병주 위원,도성,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),전병주 위원,전통,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),전병주 위원,고용,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),전병주 위원,기조,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),전병주 위원,국내,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),전병주 위원,전도,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),전병주 위원,설정,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),전병주 위원,패러다임,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),전병주 위원,요인,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),전병주 위원,순환,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),전병주 위원,과거,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),전병주 위원,임금,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),전병주 위원,숙련,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),전병주 위원,노동자,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),전병주 위원,제조업,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),전병주 위원,초기,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),전병주 위원,산업화,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),전병주 위원,인공,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),전병주 위원,지능,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),전병주 위원,혁명,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),전병주 위원,로봇,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),전병주 위원,생산,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),전병주 위원,노동,5.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),전병주 위원,그다음,41.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),전병주 위원,최저임금제,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),전병주 위원,최저임금,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),전병주 위원,상승,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),전병주 위원,진보,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),전병주 위원,실행,5.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),전병주 위원,영업,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),전병주 위원,표현,1.0
