회수,의원명,단어,빈도수
제284회[정례회] (2018.11.01 ~ 2018.12.20),정독도서관장 백종대,선서,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),정독도서관장 백종대,본인,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),정독도서관장 백종대,서울특별시,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),정독도서관장 백종대,지방자치법,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),정독도서관장 백종대,소관,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),정독도서관장 백종대,사무,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),정독도서관장 백종대,감사,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),정독도서관장 백종대,양심,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),정독도서관장 백종대,보탬,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),정독도서관장 백종대,그대로,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),정독도서관장 백종대,진술,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),정독도서관장 백종대,서면,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),정독도서관장 백종대,답변,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),정독도서관장 백종대,거짓,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),정독도서관장 백종대,위증,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),정독도서관장 백종대,맹세,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),정독도서관장 백종대,정독,9.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),정독도서관장 백종대,종대,5.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),정독도서관장 백종대,안녕하십니까,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),정독도서관장 백종대,맞이,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),정독도서관장 백종대,매우,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),정독도서관장 백종대,먼저,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),정독도서관장 백종대,소개,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),정독도서관장 백종대,강남,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),정독도서관장 백종대,최미연,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),정독도서관장 백종대,관장,19.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),정독도서관장 백종대,강동,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),정독도서관장 백종대,김선,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),정독도서관장 백종대,강서,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),정독도서관장 백종대,이명,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),정독도서관장 백종대,개포,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),정독도서관장 백종대,은자,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),정독도서관장 백종대,고척,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),정독도서관장 백종대,구로,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),정독도서관장 백종대,혜경,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),정독도서관장 백종대,남산,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),정독도서관장 백종대,손영순,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),정독도서관장 백종대,도봉,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),정독도서관장 백종대,조혜영,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),정독도서관장 백종대,동대문,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),정독도서관장 백종대,조상,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),정독도서관장 백종대,동작,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),정독도서관장 백종대,정요,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),정독도서관장 백종대,서대문,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),정독도서관장 백종대,김명선,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),정독도서관장 백종대,송파,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),정독도서관장 백종대,김선희,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),정독도서관장 백종대,용산,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),정독도서관장 백종대,송영옥,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),정독도서관장 백종대,종로,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),정독도서관장 백종대,상구,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),정독도서관장 백종대,배부,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),정독도서관장 백종대,예산,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),정독도서관장 백종대,참고,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),정독도서관장 백종대,지식,4.0
