회수,의원명,단어,빈도수
제284회[정례회] (2018.11.01 ~ 2018.12.20),정책ㆍ안전기획관 한민호,안전,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),정책ㆍ안전기획관 한민호,민호,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),정책ㆍ안전기획관 한민호,그게,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),정책ㆍ안전기획관 한민호,정리,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),정책ㆍ안전기획관 한민호,기자간담회,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),정책ㆍ안전기획관 한민호,주요한,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),정책ㆍ안전기획관 한민호,먼저,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),정책ㆍ안전기획관 한민호,말씀,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),정책ㆍ안전기획관 한민호,권한,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),정책ㆍ안전기획관 한민호,장님,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),정책ㆍ안전기획관 한민호,선제,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),정책ㆍ안전기획관 한민호,사후,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),정책ㆍ안전기획관 한민호,교육지원청,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),정책ㆍ안전기획관 한민호,부서,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),정책ㆍ안전기획관 한민호,실장,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),정책ㆍ안전기획관 한민호,보완,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),정책ㆍ안전기획관 한민호,제대로,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),정책ㆍ안전기획관 한민호,프로세스,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),정책ㆍ안전기획관 한민호,연초,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),정책ㆍ안전기획관 한민호,그다음,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),정책ㆍ안전기획관 한민호,아마,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),정책ㆍ안전기획관 한민호,잡고,1.0
