회수,의원명,단어,빈도수
제284회[정례회] (2018.11.01 ~ 2018.12.20),중등교육과장 강연흥,중등교육,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),중등교육과장 강연흥,강연,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),중등교육과장 강연흥,명퇴,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),중등교육과장 강연흥,이내,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),중등교육과장 강연흥,간혹,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),중등교육과장 강연흥,제로,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),중등교육과장 강연흥,임용,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),중등교육과장 강연흥,구해,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),중등교육과장 강연흥,말씀,7.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),중등교육과장 강연흥,연도,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),중등교육과장 강연흥,임금,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),중등교육과장 강연흥,금액,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),중등교육과장 강연흥,가요,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),중등교육과장 강연흥,불구,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),중등교육과장 강연흥,교육부,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),중등교육과장 강연흥,상피,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),중등교육과장 강연흥,후속,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),중등교육과장 강연흥,특수성,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),중등교육과장 강연흥,고요,5.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),중등교육과장 강연흥,여지,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),중등교육과장 강연흥,성적,5.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),중등교육과장 강연흥,직접,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),중등교육과장 강연흥,사립학교,6.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),중등교육과장 강연흥,명의,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),중등교육과장 강연흥,한정,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),중등교육과장 강연흥,직계,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),중등교육과장 강연흥,비속,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),중등교육과장 강연흥,본인,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),중등교육과장 강연흥,자진,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),중등교육과장 강연흥,수가,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),중등교육과장 강연흥,자의,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),중등교육과장 강연흥,명인,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),중등교육과장 강연흥,통계,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),중등교육과장 강연흥,그다음,5.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),중등교육과장 강연흥,교직원,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),중등교육과장 강연흥,동일,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),중등교육과장 강연흥,출제,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),중등교육과장 강연흥,서류,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),중등교육과장 강연흥,재직,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),중등교육과장 강연흥,숙명여고,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),중등교육과장 강연흥,프레임,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),중등교육과장 강연흥,담임,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),중등교육과장 강연흥,결재,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),중등교육과장 강연흥,라인,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),중등교육과장 강연흥,흐름,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),중등교육과장 강연흥,순간,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),중등교육과장 강연흥,부모,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),중등교육과장 강연흥,거나,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),중등교육과장 강연흥,갑자기,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),중등교육과장 강연흥,특이점,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),중등교육과장 강연흥,얘기,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),중등교육과장 강연흥,부위,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),중등교육과장 강연흥,법정,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),중등교육과장 강연흥,입금,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),중등교육과장 강연흥,자사고,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),중등교육과장 강연흥,교육과정,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),중등교육과장 강연흥,학력평가,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),중등교육과장 강연흥,민주화,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),중등교육과장 강연흥,초점,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),중등교육과장 강연흥,혁명,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),중등교육과장 강연흥,문재인,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),중등교육과장 강연흥,국정,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),중등교육과장 강연흥,대학입시,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),중등교육과장 강연흥,한계,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),중등교육과장 강연흥,절대평가,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),중등교육과장 강연흥,지향,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),중등교육과장 강연흥,가면,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),중등교육과장 강연흥,형태,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),중등교육과장 강연흥,자연,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),중등교육과장 강연흥,수입,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),중등교육과장 강연흥,교시,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),중등교육과장 강연흥,계산,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),중등교육과장 강연흥,수십,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),중등교육과장 강연흥,소수,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),중등교육과장 강연흥,배움,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),중등교육과장 강연흥,주체,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),중등교육과장 강연흥,그게,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),중등교육과장 강연흥,협동,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),중등교육과장 강연흥,프로젝트,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),중등교육과장 강연흥,접근,1.0
