회수,의원명,단어,빈도수
제284회[정례회] (2018.11.01 ~ 2018.12.20),진로직업교육과장 신승인,특정,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),진로직업교육과장 신승인,이스터,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),진로직업교육과장 신승인,진학,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),진로직업교육과장 신승인,주요한,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),진로직업교육과장 신승인,취업률,7.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),진로직업교육과장 신승인,재작년,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),진로직업교육과장 신승인,구의역,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),진로직업교육과장 신승인,실습,15.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),진로직업교육과장 신승인,안전,12.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),진로직업교육과장 신승인,하향,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),진로직업교육과장 신승인,말씀,22.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),진로직업교육과장 신승인,부서,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),진로직업교육과장 신승인,로서,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),진로직업교육과장 신승인,신입생,5.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),진로직업교육과장 신승인,미달,8.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),진로직업교육과장 신승인,사태,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),진로직업교육과장 신승인,고요,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),진로직업교육과장 신승인,배출,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),진로직업교육과장 신승인,분위기,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),진로직업교육과장 신승인,선호,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),진로직업교육과장 신승인,도해,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),진로직업교육과장 신승인,주시,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),진로직업교육과장 신승인,더욱,5.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),진로직업교육과장 신승인,정말,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),진로직업교육과장 신승인,사력,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),진로직업교육과장 신승인,그게,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),진로직업교육과장 신승인,기업체,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),진로직업교육과장 신승인,가야,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),진로직업교육과장 신승인,선도,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),진로직업교육과장 신승인,발굴,2.0
