회수,의원명,단어,빈도수
제284회[정례회] (2018.11.01 ~ 2018.12.20),채유미 위원,노원,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),채유미 위원,유미,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),채유미 위원,말씀,43.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),채유미 위원,명의,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),채유미 위원,소외,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),채유미 위원,정의,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),채유미 위원,차등,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),채유미 위원,시오,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),채유미 위원,제대로,9.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),채유미 위원,교육철학,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),채유미 위원,응원,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),채유미 위원,무직,10.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),채유미 위원,약자,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),채유미 위원,고용,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),채유미 위원,비정규직,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),채유미 위원,정규직,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),채유미 위원,서도,5.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),채유미 위원,시간제,8.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),채유미 위원,사분,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),채유미 위원,초점,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),채유미 위원,간담,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),채유미 위원,면담,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),채유미 위원,대우,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),채유미 위원,알기,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),채유미 위원,지난주,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),채유미 위원,부근,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),채유미 위원,얘기,17.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),채유미 위원,교사,14.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),채유미 위원,학부모,15.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),채유미 위원,계시,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),채유미 위원,연관,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),채유미 위원,불구,13.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),채유미 위원,이분,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),채유미 위원,편의,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),채유미 위원,시적,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),채유미 위원,초과근무,5.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),채유미 위원,일어난다,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),채유미 위원,로서,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),채유미 위원,의향,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),채유미 위원,신지,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),채유미 위원,방금,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),채유미 위원,감사원,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),채유미 위원,일제,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),채유미 위원,신빙,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),채유미 위원,건가,33.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),채유미 위원,지난번,8.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),채유미 위원,보지,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),채유미 위원,소관,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),채유미 위원,오신,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),채유미 위원,감사,39.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),채유미 위원,권한,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),채유미 위원,교육지원청,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),채유미 위원,지원청,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),채유미 위원,나머지,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),채유미 위원,전수,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),채유미 위원,모범,1.0
