회수,의원명,단어,빈도수
제284회[정례회] (2018.11.01 ~ 2018.12.20),체육건강과장 박광훈,박광훈입니,6.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),체육건강과장 박광훈,미처,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),체육건강과장 박광훈,아마,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),체육건강과장 박광훈,친환경,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),체육건강과장 박광훈,유통,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),체육건강과장 박광훈,공익,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),체육건강과장 박광훈,수행,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),체육건강과장 박광훈,가격,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),체육건강과장 박광훈,상세,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),체육건강과장 박광훈,수영장,7.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),체육건강과장 박광훈,안전,5.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),체육건강과장 박광훈,요원,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),체육건강과장 박광훈,보시,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),체육건강과장 박광훈,겸임,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),체육건강과장 박광훈,자격증,5.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),체육건강과장 박광훈,소지,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),체육건강과장 박광훈,인명구조,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),체육건강과장 박광훈,라이프가드,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),체육건강과장 박광훈,인스,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),체육건강과장 박광훈,트럭,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),체육건강과장 박광훈,수영,5.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),체육건강과장 박광훈,고급,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),체육건강과장 박광훈,인명구조원,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),체육건강과장 박광훈,지도자,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),체육건강과장 박광훈,우대,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),체육건강과장 박광훈,고요,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),체육건강과장 박광훈,수영강,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),체육건강과장 박광훈,사가,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),체육건강과장 박광훈,수가,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),체육건강과장 박광훈,직영,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),체육건강과장 박광훈,고용,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),체육건강과장 박광훈,그냥,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),체육건강과장 박광훈,항상,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),체육건강과장 박광훈,거기,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),체육건강과장 박광훈,넓이,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),체육건강과장 박광훈,커버,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),체육건강과장 박광훈,전수,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),체육건강과장 박광훈,그다음,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),체육건강과장 박광훈,바다,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),체육건강과장 박광훈,생존,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),체육건강과장 박광훈,교육과정,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),체육건강과장 박광훈,낚시,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),체육건강과장 박광훈,예산,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),체육건강과장 박광훈,협회,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),체육건강과장 박광훈,장소,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),체육건강과장 박광훈,불허,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),체육건강과장 박광훈,보완,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),체육건강과장 박광훈,말씀,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),체육건강과장 박광훈,하늘빛,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),체육건강과장 박광훈,효정,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),체육건강과장 박광훈,식품위생법,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),체육건강과장 박광훈,의거,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),체육건강과장 박광훈,급식,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),체육건강과장 박광훈,영양사,2.0
