회수,의원명,단어,빈도수
제284회[정례회] (2018.11.01 ~ 2018.12.20),초등교육과장 민계홍,초등교육,10.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),초등교육과장 민계홍,월급,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),초등교육과장 민계홍,제로,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),초등교육과장 민계홍,효율,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),초등교육과장 민계홍,종료,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),초등교육과장 민계홍,명의,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),초등교육과장 민계홍,사가,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),초등교육과장 민계홍,일제,6.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),초등교육과장 민계홍,말씀,26.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),초등교육과장 민계홍,시간제,11.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),초등교육과장 민계홍,감사원,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),초등교육과장 민계홍,감사,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),초등교육과장 민계홍,경기도,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),초등교육과장 민계홍,인건비,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),초등교육과장 민계홍,부적정,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),초등교육과장 민계홍,아침,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),초등교육과장 민계홍,저녁,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),초등교육과장 민계홍,방과후,11.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),초등교육과장 민계홍,형태,27.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),초등교육과장 민계홍,배경,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),초등교육과장 민계홍,점도,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),초등교육과장 민계홍,나름,6.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),초등교육과장 민계홍,거기,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),초등교육과장 민계홍,보상,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),초등교육과장 민계홍,선수,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),초등교육과장 민계홍,매년,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),초등교육과장 민계홍,노사,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),초등교육과장 민계홍,임금,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),초등교육과장 민계홍,추후,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),초등교육과장 민계홍,급식,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),초등교육과장 민계홍,차등,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),초등교육과장 민계홍,고용,10.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),초등교육과장 민계홍,가요,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),초등교육과장 민계홍,기구,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),초등교육과장 민계홍,듭니,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),초등교육과장 민계홍,단기,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),초등교육과장 민계홍,교사,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),초등교육과장 민계홍,여유,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),초등교육과장 민계홍,사후,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),초등교육과장 민계홍,예산,7.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),초등교육과장 민계홍,측면,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),초등교육과장 민계홍,기적,1.0
