회수,의원명,단어,빈도수
제284회[정례회] (2018.11.01 ~ 2018.12.20),총무과장 이연주,안녕하십니까,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),총무과장 이연주,총무,8.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),총무과장 이연주,이연주,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),총무과장 이연주,존경,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),총무과장 이연주,장인,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),총무과장 이연주,김경,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),총무과장 이연주,부위,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),총무과장 이연주,인구,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),총무과장 이연주,비롯,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),총무과장 이연주,드릴,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),총무과장 이연주,순서,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),총무과장 이연주,예산,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),총무과장 이연주,먼저,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),총무과장 이연주,봉사,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),총무과장 이연주,기록관리,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),총무과장 이연주,명의,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),총무과장 이연주,후생,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),총무과장 이연주,복지,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),총무과장 이연주,콜센터,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),총무과장 이연주,기록물,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),총무과장 이연주,정보공개,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),총무과장 이연주,증액,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),총무과장 이연주,금년,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),총무과장 이연주,대폭,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),총무과장 이연주,전국동시,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),총무과장 이연주,지방선거,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),총무과장 이연주,법정,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),총무과장 이연주,경비,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),총무과장 이연주,공헌,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),총무과장 이연주,공직자,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),총무과장 이연주,솔선수범,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),총무과장 이연주,나눔,1.0
