회수,의원명,단어,빈도수
제284회[정례회] (2018.11.01 ~ 2018.12.20),최선 위원,비리,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),최선 위원,해묵,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),최선 위원,사립학교,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),최선 위원,숙제,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),최선 위원,먼저,5.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),최선 위원,감사,31.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),최선 위원,이사도,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),최선 위원,파견,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),최선 위원,해임,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),최선 위원,마케팅,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),최선 위원,여중,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),최선 위원,말씀,56.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),최선 위원,당사자,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),최선 위원,그다음,32.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),최선 위원,치가,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),최선 위원,과거,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),최선 위원,지고,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),최선 위원,수긍,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),최선 위원,인적,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),최선 위원,리지,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),최선 위원,제때,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),최선 위원,환수,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),최선 위원,그거,6.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),최선 위원,대응,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),최선 위원,법무,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),최선 위원,명입,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),최선 위원,조례,8.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),최선 위원,저촉,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),최선 위원,보시,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),최선 위원,거나,9.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),최선 위원,관여,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),최선 위원,건가,13.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),최선 위원,깜짝,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),최선 위원,권순선,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),최선 위원,런가,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),최선 위원,거지,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),최선 위원,사립학교법,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),최선 위원,종국,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),최선 위원,거기,9.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),최선 위원,무조건,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),최선 위원,승소,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),최선 위원,지기,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),최선 위원,제대로,6.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),최선 위원,일어나지,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),최선 위원,나중,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),최선 위원,법원,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),최선 위원,판결,1.0
