회수,의원명,단어,빈도수
제284회[정례회] (2018.11.01 ~ 2018.12.20),탑건축사사무소대표 전희,건축사,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),탑건축사사무소대표 전희,사무소,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),탑건축사사무소대표 전희,전희,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),탑건축사사무소대표 전희,감리,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),탑건축사사무소대표 전희,상식,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),탑건축사사무소대표 전희,안전,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),탑건축사사무소대표 전희,부위,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),탑건축사사무소대표 전희,그게,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),탑건축사사무소대표 전희,서로,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),탑건축사사무소대표 전희,재산권,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),탑건축사사무소대표 전희,다세대,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),탑건축사사무소대표 전희,상충,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),탑건축사사무소대표 전희,답변,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),탑건축사사무소대표 전희,탑건,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),탑건축사사무소대표 전희,축사,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),탑건축사사무소대표 전희,흙막이,1.0
