회수,의원명,단어,빈도수
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생교육과장 임광빈,평생교육,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생교육과장 임광빈,임광,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생교육과장 임광빈,연도,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생교육과장 임광빈,매년,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생교육과장 임광빈,공익,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생교육과장 임광빈,별로,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생교육과장 임광빈,회계,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생교육과장 임광빈,결산,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생교육과장 임광빈,포커스,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생교육과장 임광빈,거나,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생교육과장 임광빈,장학재단,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생교육과장 임광빈,지정기부금단체,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생교육과장 임광빈,부금,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생교육과장 임광빈,정수장학회,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생교육과장 임광빈,기부,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생교육과장 임광빈,한번,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생교육과장 임광빈,방송통신,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생교육과장 임광빈,소유,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생교육과장 임광빈,법적,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생교육과장 임광빈,위법,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생교육과장 임광빈,유보,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생교육과장 임광빈,불구,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생교육과장 임광빈,의결권,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생교육과장 임광빈,주식,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생교육과장 임광빈,언론사,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생교육과장 임광빈,정성,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생교육과장 임광빈,말씀,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생교육과장 임광빈,고요,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생교육과장 임광빈,진흥,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생교육과장 임광빈,법률,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생교육과장 임광빈,문체부,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생교육과장 임광빈,소관,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생교육과장 임광빈,이기,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생교육과장 임광빈,건의,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생교육과장 임광빈,죄송,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생교육과장 임광빈,문상,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생교육과장 임광빈,연락,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생교육과장 임광빈,부서,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생교육과장 임광빈,비교,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생교육과장 임광빈,입시,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생교육과장 임광빈,진학,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생교육과장 임광빈,단가,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생교육과장 임광빈,교습,6.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생교육과장 임광빈,초과,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생교육과장 임광빈,수라,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생교육과장 임광빈,보시,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생교육과장 임광빈,바탕,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생교육과장 임광빈,강남,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생교육과장 임광빈,분당,3.0
