회수,의원명,단어,빈도수
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생진로교육국장 박혜자,안녕하십니까,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생진로교육국장 박혜자,평생,68.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생진로교육국장 박혜자,박혜자,40.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생진로교육국장 박혜자,존경,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생진로교육국장 박혜자,장인,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생진로교육국장 박혜자,김경,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생진로교육국장 박혜자,인구,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생진로교육국장 박혜자,부위,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생진로교육국장 박혜자,소관,10.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생진로교육국장 박혜자,앞서,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생진로교육국장 박혜자,간부,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생진로교육국장 박혜자,소개,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생진로교육국장 박혜자,임광,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생진로교육국장 박혜자,평생교육,19.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생진로교육국장 박혜자,정영철,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생진로교육국장 박혜자,박광훈,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생진로교육국장 박혜자,책자,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생진로교육국장 박혜자,참고,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생진로교육국장 박혜자,예산,29.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생진로교육국장 박혜자,부서,20.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생진로교육국장 박혜자,전문직,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생진로교육국장 박혜자,먼저,6.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생진로교육국장 박혜자,활성화,6.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생진로교육국장 박혜자,인프라,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생진로교육국장 박혜자,학부모,20.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생진로교육국장 박혜자,학습자,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생진로교육국장 박혜자,전용,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생진로교육국장 박혜자,소외,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생진로교육국장 박혜자,계층,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생진로교육국장 박혜자,정규,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생진로교육국장 박혜자,문해,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생진로교육국장 박혜자,형태,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생진로교육국장 박혜자,장애인,9.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생진로교육국장 박혜자,진흥,9.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생진로교육국장 박혜자,인생,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생진로교육국장 박혜자,이모작,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생진로교육국장 박혜자,건전,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생진로교육국장 박혜자,불법,5.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생진로교육국장 박혜자,교습,14.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생진로교육국장 박혜자,징수,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생진로교육국장 박혜자,선행,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생진로교육국장 박혜자,유발,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생진로교육국장 박혜자,광고,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생진로교육국장 박혜자,사교육,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생진로교육국장 박혜자,조장,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생진로교육국장 박혜자,나이스,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생진로교육국장 박혜자,노하우,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생진로교육국장 박혜자,구현,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생진로교육국장 박혜자,비영리,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생진로교육국장 박혜자,공익,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생진로교육국장 박혜자,수행,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생진로교육국장 박혜자,만들기,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생진로교육국장 박혜자,학교폭력,22.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생진로교육국장 박혜자,어울림,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생진로교육국장 박혜자,변호사,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생진로교육국장 박혜자,원단,8.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생진로교육국장 박혜자,적응,11.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생진로교육국장 박혜자,안정화,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생진로교육국장 박혜자,학업,30.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생진로교육국장 박혜자,대안교육,8.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생진로교육국장 박혜자,정착,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),평생진로교육국장 박혜자,심리,1.0
