회수,의원명,단어,빈도수
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원급식지원과장 김진수,안녕하십니까,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원급식지원과장 김진수,양해,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원급식지원과장 김진수,답변,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원급식지원과장 김진수,보건,7.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원급식지원과장 김진수,진흥,6.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원급식지원과장 김진수,급식,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원급식지원과장 김진수,김진수,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원급식지원과장 김진수,말씀,6.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원급식지원과장 김진수,잔류,11.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원급식지원과장 김진수,농약,11.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원급식지원과장 김진수,실질,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원급식지원과장 김진수,출하,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원급식지원과장 김진수,과거,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원급식지원과장 김진수,사후,5.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원급식지원과장 김진수,실효,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원급식지원과장 김진수,먹음,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원급식지원과장 김진수,몸속,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원급식지원과장 김진수,섭취,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원급식지원과장 김진수,납품,8.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원급식지원과장 김진수,채취,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원급식지원과장 김진수,생산자,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원급식지원과장 김진수,친환경,5.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원급식지원과장 김진수,유통,6.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원급식지원과장 김진수,새벽,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원급식지원과장 김진수,출근,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원급식지원과장 김진수,미약,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원급식지원과장 김진수,나름,8.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원급식지원과장 김진수,내지,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원급식지원과장 김진수,예산,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원급식지원과장 김진수,샘플,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원급식지원과장 김진수,기구,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원급식지원과장 김진수,거기,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원급식지원과장 김진수,농촌,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원급식지원과장 김진수,농민,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원급식지원과장 김진수,생산,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원급식지원과장 김진수,재검,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원급식지원과장 김진수,아예,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원급식지원과장 김진수,취급,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원급식지원과장 김진수,샘플링,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원급식지원과장 김진수,산이,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원급식지원과장 김진수,오해,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원급식지원과장 김진수,오염,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원급식지원과장 김진수,부석,5.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원급식지원과장 김진수,외부,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원급식지원과장 김진수,표본,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원급식지원과장 김진수,추출,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원급식지원과장 김진수,랜덤,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원급식지원과장 김진수,장비,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원급식지원과장 김진수,수반,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원급식지원과장 김진수,관원,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원급식지원과장 김진수,전화,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원급식지원과장 김진수,그간,1.0
