회수,의원명,단어,빈도수
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원장 강동호,존경,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원장 강동호,장인,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원장 강동호,김경,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원장 강동호,부위,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원장 강동호,인구,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원장 강동호,안녕하십니까,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원장 강동호,보건,29.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원장 강동호,진흥,14.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원장 강동호,강동호,7.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원장 강동호,먼저,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원장 강동호,보고서,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원장 강동호,현원,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원장 강동호,금년,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원장 강동호,예산,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원장 강동호,증액,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원장 강동호,급식,37.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원장 강동호,장지원,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원장 강동호,잡고,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원장 강동호,요원,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원장 강동호,소득,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원장 강동호,심리치료,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원장 강동호,의료,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원장 강동호,증진,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원장 강동호,희귀,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원장 강동호,난치,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원장 강동호,질환,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원장 강동호,심장질환,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원장 강동호,시력,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원장 강동호,수술,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원장 강동호,금회,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원장 강동호,밀알,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원장 강동호,복지,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원장 강동호,부천,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원장 강동호,흡연,8.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원장 강동호,금연,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원장 강동호,국고,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원장 강동호,보조금,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원장 강동호,또래,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원장 강동호,리더십,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원장 강동호,캠프,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원장 강동호,상담사,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원장 강동호,직접,5.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원장 강동호,방교,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원장 강동호,효율,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원장 강동호,수행,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원장 강동호,원단,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원장 강동호,안전성,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원장 강동호,접촉,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원장 강동호,표면,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원장 강동호,미생물,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원장 강동호,표본,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원장 강동호,해썹,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원장 강동호,검증,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원장 강동호,식중독,5.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원장 강동호,방사,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원장 강동호,정밀검사,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원장 강동호,위생,7.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원장 강동호,통한,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원장 강동호,매년,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원장 강동호,실내,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원장 강동호,공기,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원장 강동호,측정,11.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원장 강동호,수질검사,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원장 강동호,대하,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원장 강동호,면적,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원장 강동호,기질,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원장 강동호,이내,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원장 강동호,개교,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원장 강동호,증후군,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원장 강동호,유발,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원장 강동호,물질,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원장 강동호,미세먼지,8.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원장 강동호,대응,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원장 강동호,적기,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원장 강동호,보제,5.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원장 강동호,감염병,5.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원장 강동호,증상,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원장 강동호,발병,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원장 강동호,요령,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원장 강동호,감염,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원장 강동호,포털,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원장 강동호,주간,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원장 강동호,소식지,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원장 강동호,일원화,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원장 강동호,경보,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교보건진흥원장 강동호,가격,1.0
