회수,의원명,단어,빈도수
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교지원과장 한창화,한창화,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교지원과장 한창화,금년,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교지원과장 한창화,연초,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교지원과장 한창화,교육부,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교지원과장 한창화,휴교,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교지원과장 한창화,하라,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교지원과장 한창화,일주일,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교지원과장 한창화,최소한,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교지원과장 한창화,행정재산,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교지원과장 한창화,권한,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교지원과장 한창화,위임,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교지원과장 한창화,수가,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교지원과장 한창화,교직원,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교지원과장 한창화,서진,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교지원과장 한창화,나래,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교지원과장 한창화,화장실,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교지원과장 한창화,요건,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교지원과장 한창화,충족,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교지원과장 한창화,놨고,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교지원과장 한창화,그다음,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교지원과장 한창화,기억,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교지원과장 한창화,다가,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교지원과장 한창화,배정은,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교지원과장 한창화,고교선택제,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교지원과장 한창화,로서,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교지원과장 한창화,별로,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교지원과장 한창화,수합,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교지원과장 한창화,전산,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교지원과장 한창화,배정,5.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교지원과장 한창화,장애인,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교지원과장 한창화,특수교육,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교지원과장 한창화,거기,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교지원과장 한창화,통학,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교지원과장 한창화,근거리,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교지원과장 한창화,수락,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교지원과장 한창화,학부모,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교지원과장 한창화,곳도,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교지원과장 한창화,라면,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교지원과장 한창화,그게,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교지원과장 한창화,특정,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교지원과장 한창화,먼저,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교지원과장 한창화,소관,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교지원과장 한창화,말씀,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교지원과장 한창화,지난주,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교지원과장 한창화,얘기,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교지원과장 한창화,자공고,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교지원과장 한창화,전혀,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교지원과장 한창화,여유,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교지원과장 한창화,고요,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교지원과장 한창화,교육과정,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교지원과장 한창화,이동,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교지원과장 한창화,제대로,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교지원과장 한창화,구비,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교지원과장 한창화,감축,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교지원과장 한창화,교사,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교지원과장 한창화,초빙,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교지원과장 한창화,전출,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교지원과장 한창화,나가야,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교지원과장 한창화,평면도,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교지원과장 한창화,생활기록부,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교지원과장 한창화,성적,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교지원과장 한창화,복도,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교지원과장 한창화,수락고,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교지원과장 한창화,용의,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교지원과장 한창화,얼른,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학교지원과장 한창화,도봉고,1.0
