회수,의원명,단어,빈도수
제284회[정례회] (2018.11.01 ~ 2018.12.20),학생교육원장 김시영,안녕하십니까,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학생교육원장 김시영,서울특별시,7.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학생교육원장 김시영,시영,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학생교육원장 김시영,존경,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학생교육원장 김시영,장인,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학생교육원장 김시영,김경,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학생교육원장 김시영,부위,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학생교육원장 김시영,인구,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학생교육원장 김시영,모시,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학생교육원장 김시영,매우,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학생교육원장 김시영,앞서,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학생교육원장 김시영,간부,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학생교육원장 김시영,소개,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학생교육원장 김시영,이숙자,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학생교육원장 김시영,무부,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학생교육원장 김시영,창진,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학생교육원장 김시영,야외,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학생교육원장 김시영,교육장,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학생교육원장 김시영,현원,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학생교육원장 김시영,예산,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학생교육원장 김시영,책자,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학생교육원장 김시영,심신,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학생교육원장 김시영,인성,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학생교육원장 김시영,교육과정,6.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학생교육원장 김시영,참고,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학생교육원장 김시영,주시,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학생교육원장 김시영,첫째,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학생교육원장 김시영,수련,23.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학생교육원장 김시영,부합,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학생교육원장 김시영,야영,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학생교육원장 김시영,캠프,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학생교육원장 김시영,임해,1.0
