회수,의원명,단어,빈도수
제284회[정례회] (2018.11.01 ~ 2018.12.20),학생생활교육과장 정영철,정영철,7.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학생생활교육과장 정영철,정규,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학생생활교육과장 정영철,교육과정,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학생생활교육과장 정영철,포괄,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학생생활교육과장 정영철,재적,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학생생활교육과장 정영철,유학,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학생생활교육과장 정영철,그다음,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학생생활교육과장 정영철,통상,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학생생활교육과장 정영철,그대로,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학생생활교육과장 정영철,어쨌든,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학생생활교육과장 정영철,이탈,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학생생활교육과장 정영철,가능성,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학생생활교육과장 정영철,욕심,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학생생활교육과장 정영철,고리,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학생생활교육과장 정영철,실질,5.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학생생활교육과장 정영철,명의,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학생생활교육과장 정영철,흔적,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학생생활교육과장 정영철,추적,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학생생활교육과장 정영철,달라,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학생생활교육과장 정영철,개념,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학생생활교육과장 정영철,초점,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학생생활교육과장 정영철,근간,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학생생활교육과장 정영철,이해해,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),학생생활교육과장 정영철,말로,1.0
