회수,의원명,단어,빈도수
제284회[정례회] (2018.11.01 ~ 2018.12.20),한울알엔디주식회사회장 김승영,먼저,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),한울알엔디주식회사회장 김승영,인벌브돼,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),한울알엔디주식회사회장 김승영,시공,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),한울알엔디주식회사회장 김승영,감리,5.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),한울알엔디주식회사회장 김승영,자문,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),한울알엔디주식회사회장 김승영,김자,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),한울알엔디주식회사회장 김승영,승자,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),한울알엔디주식회사회장 김승영,영자,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),한울알엔디주식회사회장 김승영,김승영,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),한울알엔디주식회사회장 김승영,이주영,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),한울알엔디주식회사회장 김승영,상무,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),한울알엔디주식회사회장 김승영,개념,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),한울알엔디주식회사회장 김승영,상주,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),한울알엔디주식회사회장 김승영,소일,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),한울알엔디주식회사회장 김승영,일링,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),한울알엔디주식회사회장 김승영,공법,4.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),한울알엔디주식회사회장 김승영,얘기,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),한울알엔디주식회사회장 김승영,로서,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),한울알엔디주식회사회장 김승영,조합,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),한울알엔디주식회사회장 김승영,진두,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),한울알엔디주식회사회장 김승영,소장,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),한울알엔디주식회사회장 김승영,저하,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),한울알엔디주식회사회장 김승영,지은,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),한울알엔디주식회사회장 김승영,옹벽,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),한울알엔디주식회사회장 김승영,외형,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),한울알엔디주식회사회장 김승영,아무,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),한울알엔디주식회사회장 김승영,안전,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),한울알엔디주식회사회장 김승영,거기,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),한울알엔디주식회사회장 김승영,육안,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),한울알엔디주식회사회장 김승영,정식,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),한울알엔디주식회사회장 김승영,법적,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),한울알엔디주식회사회장 김승영,아주,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),한울알엔디주식회사회장 김승영,사연,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),한울알엔디주식회사회장 김승영,말씀,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),한울알엔디주식회사회장 김승영,소명,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),한울알엔디주식회사회장 김승영,경계,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),한울알엔디주식회사회장 김승영,학계,1.0
