회수,의원명,단어,빈도수
제284회[정례회] (2018.11.01 ~ 2018.12.20),행정관리담당관 임찬식,임찬식,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),행정관리담당관 임찬식,부적,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),행정관리담당관 임찬식,교육부,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),행정관리담당관 임찬식,거기,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),행정관리담당관 임찬식,유보,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),행정관리담당관 임찬식,사후,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),행정관리담당관 임찬식,감사,3.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),행정관리담당관 임찬식,효율,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),행정관리담당관 임찬식,감안,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),행정관리담당관 임찬식,그게,2.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),행정관리담당관 임찬식,역청,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),행정관리담당관 임찬식,형태,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),행정관리담당관 임찬식,누적,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),행정관리담당관 임찬식,평소,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),행정관리담당관 임찬식,나중,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),행정관리담당관 임찬식,어쨌든,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),행정관리담당관 임찬식,만큼,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),행정관리담당관 임찬식,보완,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),행정관리담당관 임찬식,청렴,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),행정관리담당관 임찬식,민감,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),행정관리담당관 임찬식,사관,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),행정관리담당관 임찬식,조례,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),행정관리담당관 임찬식,권순선,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),행정관리담당관 임찬식,말씀,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),행정관리담당관 임찬식,외부,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),행정관리담당관 임찬식,정식,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),행정관리담당관 임찬식,양면,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),행정관리담당관 임찬식,예산,1.0
제284회[정례회] (2018.11.01 ~ 2018.12.20),행정관리담당관 임찬식,최대한,1.0
