회수,의원명,단어,빈도수
제290회[정례회] (2019.11.01 ~ 2019.12.20),강서양천교육지원청교육장 심금순,강서,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),강서양천교육지원청교육장 심금순,양천,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),강서양천교육지원청교육장 심금순,교육장,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),강서양천교육지원청교육장 심금순,심금,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),강서양천교육지원청교육장 심금순,서진,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),강서양천교육지원청교육장 심금순,개교,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),강서양천교육지원청교육장 심금순,허가,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),강서양천교육지원청교육장 심금순,주말,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),강서양천교육지원청교육장 심금순,일요일,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),강서양천교육지원청교육장 심금순,소관,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),강서양천교육지원청교육장 심금순,부서,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),강서양천교육지원청교육장 심금순,건가,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),강서양천교육지원청교육장 심금순,초등교육,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),강서양천교육지원청교육장 심금순,나머지,1.0
