회수,의원명,단어,빈도수
제290회[정례회] (2019.11.01 ~ 2019.12.20),과학전시관장 김종희,선서,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),과학전시관장 김종희,본인,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),과학전시관장 김종희,서울특별시,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),과학전시관장 김종희,지방자치법,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),과학전시관장 김종희,소관,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),과학전시관장 김종희,사무,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),과학전시관장 김종희,감사,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),과학전시관장 김종희,양심,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),과학전시관장 김종희,보탬,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),과학전시관장 김종희,그대로,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),과학전시관장 김종희,거짓,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),과학전시관장 김종희,위증,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),과학전시관장 김종희,맹세,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),과학전시관장 김종희,전시관,15.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),과학전시관장 김종희,관장,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),과학전시관장 김종희,김종희,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),과학전시관장 김종희,안녕하십니까,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),과학전시관장 김종희,해주시,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),과학전시관장 김종희,존경,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),과학전시관장 김종희,장인,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),과학전시관장 김종희,김경,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),과학전시관장 김종희,인구,1.0
