회수,의원명,단어,빈도수
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육시설관리본부장 이길환,선서,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육시설관리본부장 이길환,본인,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육시설관리본부장 이길환,서울특별시,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육시설관리본부장 이길환,지방자치법,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육시설관리본부장 이길환,소관,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육시설관리본부장 이길환,사무,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육시설관리본부장 이길환,감사,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육시설관리본부장 이길환,양심,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육시설관리본부장 이길환,보탬,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육시설관리본부장 이길환,그대로,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육시설관리본부장 이길환,거짓,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육시설관리본부장 이길환,위증,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육시설관리본부장 이길환,맹세,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육시설관리본부장 이길환,본부장,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육시설관리본부장 이길환,이길환,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육시설관리본부장 이길환,종은,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육시설관리본부장 이길환,교육부,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육시설관리본부장 이길환,노후,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육시설관리본부장 이길환,총괄,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육시설관리본부장 이길환,직속,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육시설관리본부장 이길환,물이,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육시설관리본부장 이길환,소가,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육시설관리본부장 이길환,사립학교,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육시설관리본부장 이길환,거기,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육시설관리본부장 이길환,조그만,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육시설관리본부장 이길환,그게,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육시설관리본부장 이길환,예산,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육시설관리본부장 이길환,내의,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육시설관리본부장 이길환,소요,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육시설관리본부장 이길환,박탈,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육시설관리본부장 이길환,교육지원청,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육시설관리본부장 이길환,별로,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육시설관리본부장 이길환,청과,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육시설관리본부장 이길환,여지,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육시설관리본부장 이길환,경비,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육시설관리본부장 이길환,보조금,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육시설관리본부장 이길환,발주,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육시설관리본부장 이길환,특교,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육시설관리본부장 이길환,매뉴얼,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육시설관리본부장 이길환,추측,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육시설관리본부장 이길환,부가,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육시설관리본부장 이길환,참고,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육시설관리본부장 이길환,주로,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육시설관리본부장 이길환,동반,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육시설관리본부장 이길환,통한,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육시설관리본부장 이길환,피부,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육시설관리본부장 이길환,점수,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육시설관리본부장 이길환,제대로,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육시설관리본부장 이길환,아마,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육시설관리본부장 이길환,공종,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육시설관리본부장 이길환,정말,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육시설관리본부장 이길환,전문성,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육시설관리본부장 이길환,대체로,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육시설관리본부장 이길환,방수,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육시설관리본부장 이길환,자격증,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육시설관리본부장 이길환,내외,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육시설관리본부장 이길환,아주,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육시설관리본부장 이길환,역청,1.0
