회수,의원명,단어,빈도수
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육시설안전과장 김재환,안전,17.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육시설안전과장 김재환,김재환,12.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육시설안전과장 김재환,특허,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육시설안전과장 김재환,공법,7.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육시설안전과장 김재환,퍼센티지,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육시설안전과장 김재환,방수,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육시설안전과장 김재환,자재,10.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육시설안전과장 김재환,거기,12.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육시설안전과장 김재환,내진,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육시설안전과장 김재환,성능,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육시설안전과장 김재환,기술사,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육시설안전과장 김재환,재난,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육시설안전과장 김재환,그게,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육시설안전과장 김재환,정량,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육시설안전과장 김재환,항목,5.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육시설안전과장 김재환,그다음,8.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육시설안전과장 김재환,정성,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육시설안전과장 김재환,풀이,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육시설안전과장 김재환,난수,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육시설안전과장 김재환,추출,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육시설안전과장 김재환,산자부,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육시설안전과장 김재환,기억,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육시설안전과장 김재환,권장,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육시설안전과장 김재환,청렴,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육시설안전과장 김재환,관여,6.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육시설안전과장 김재환,전적,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육시설안전과장 김재환,동감,3.0
