회수,의원명,단어,빈도수
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육연구정보원장 송재범,안녕하십니까,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육연구정보원장 송재범,서울특별시,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육연구정보원장 송재범,정보원,12.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육연구정보원장 송재범,송재,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육연구정보원장 송재범,범입,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육연구정보원장 송재범,존경,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육연구정보원장 송재범,장인,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육연구정보원장 송재범,김경,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육연구정보원장 송재범,인구,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육연구정보원장 송재범,부위,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육연구정보원장 송재범,비롯,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육연구정보원장 송재범,모시,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육연구정보원장 송재범,앞서,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육연구정보원장 송재범,간부,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육연구정보원장 송재범,소개,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육연구정보원장 송재범,조장,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육연구정보원장 송재범,무부,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육연구정보원장 송재범,민경,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육연구정보원장 송재범,연구소장,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육연구정보원장 송재범,유원,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육연구정보원장 송재범,유대,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육연구정보원장 송재범,교육과정,10.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육연구정보원장 송재범,진학,17.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육연구정보원장 송재범,배영,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육연구정보원장 송재범,임재,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육연구정보원장 송재범,정보화,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육연구정보원장 송재범,보고서,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육연구정보원장 송재범,연구소,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육연구정보원장 송재범,과로,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육연구정보원장 송재범,전문직,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육연구정보원장 송재범,명의,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육연구정보원장 송재범,예산,10.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육연구정보원장 송재범,예산현,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육연구정보원장 송재범,추경,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육연구정보원장 송재범,수행,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육연구정보원장 송재범,개별,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육연구정보원장 송재범,실행,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육연구정보원장 송재범,학부모,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육연구정보원장 송재범,접근성,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육연구정보원장 송재범,온라인,6.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육연구정보원장 송재범,교육활동,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육연구정보원장 송재범,콘텐츠,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육연구정보원장 송재범,소프트웨어,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육연구정보원장 송재범,공교육,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육연구정보원장 송재범,구현,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육연구정보원장 송재범,나눔,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육연구정보원장 송재범,뒷받침,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육연구정보원장 송재범,원단,6.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육연구정보원장 송재범,구결,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육연구정보원장 송재범,연차,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육연구정보원장 송재범,발간,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육연구정보원장 송재범,페이퍼,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육연구정보원장 송재범,직속,1.0
