회수,의원명,단어,빈도수
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육연수원장 함영기,안녕하십니까,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육연수원장 함영기,서울특별시,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육연수원장 함영기,영기,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육연수원장 함영기,선도,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육연수원장 함영기,배움터,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육연수원장 함영기,주시,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육연수원장 함영기,존경,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육연수원장 함영기,장인,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육연수원장 함영기,김경,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육연수원장 함영기,부위,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육연수원장 함영기,인구,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육연수원장 함영기,비롯,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육연수원장 함영기,모시,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육연수원장 함영기,앞서,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육연수원장 함영기,간부,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육연수원장 함영기,소개,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육연수원장 함영기,용문,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육연수원장 함영기,무부,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육연수원장 함영기,송영미,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육연수원장 함영기,홍석주,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육연수원장 함영기,등교,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육연수원장 함영기,전영식,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육연수원장 함영기,이승주,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육연수원장 함영기,교육행정,9.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육연수원장 함영기,사무,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육연수원장 함영기,감사,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육연수원장 함영기,책자,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육연수원장 함영기,참고,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육연수원장 함영기,먼저,1.0
