회수,의원명,단어,빈도수
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육재정과장 강영숙,교육재정,6.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육재정과장 강영숙,강영숙,6.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육재정과장 강영숙,햇빛,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육재정과장 강영숙,발전소,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육재정과장 강영숙,그다음,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육재정과장 강영숙,안전,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육재정과장 강영숙,사립학교,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육재정과장 강영숙,예산,6.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육재정과장 강영숙,교부,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육재정과장 강영숙,추진기,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육재정과장 강영숙,보통,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육재정과장 강영숙,내지,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육재정과장 강영숙,소요,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육재정과장 강영숙,설정,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육재정과장 강영숙,허가,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육재정과장 강영숙,완성,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육재정과장 강영숙,중도,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육재정과장 강영숙,포기,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육재정과장 강영숙,글쎄,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육재정과장 강영숙,차이,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육재정과장 강영숙,이동,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육재정과장 강영숙,말씀,9.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육재정과장 강영숙,체적,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육재정과장 강영숙,양호,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육재정과장 강영숙,설문조사,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육재정과장 강영숙,한번,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육재정과장 강영숙,한전,5.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육재정과장 강영숙,실장,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육재정과장 강영숙,고요,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육재정과장 강영숙,전기,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육재정과장 강영숙,에너지,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육재정과장 강영숙,체험학습,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육재정과장 강영숙,리베이트,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육재정과장 강영숙,센티,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육재정과장 강영숙,브로,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육재정과장 강영숙,원금,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육재정과장 강영숙,인센티브,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육재정과장 강영숙,유인,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육재정과장 강영숙,기피,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육재정과장 강영숙,농협,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육재정과장 강영숙,입찰,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육재정과장 강영숙,이기,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육재정과장 강영숙,응찰,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육재정과장 강영숙,수의계약,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육재정과장 강영숙,금고,6.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육재정과장 강영숙,교육사,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육재정과장 강영숙,출연,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육재정과장 강영숙,금은,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육재정과장 강영숙,용량,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육재정과장 강영숙,변동,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육재정과장 강영숙,예규,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육재정과장 강영숙,교육부,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육재정과장 강영숙,항목,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육재정과장 강영숙,그거,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육재정과장 강영숙,재무,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육재정과장 강영숙,신용,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육재정과장 강영숙,가요,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육재정과장 강영숙,수의,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육재정과장 강영숙,장비,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육재정과장 강영숙,아마,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육재정과장 강영숙,공통,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육재정과장 강영숙,물자,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육재정과장 강영숙,조달청,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육재정과장 강영숙,가계약,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육재정과장 강영숙,나라장터,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육재정과장 강영숙,쇼핑몰,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육재정과장 강영숙,거기,7.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육재정과장 강영숙,조달,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육재정과장 강영숙,규격,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육재정과장 강영숙,성능,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육재정과장 강영숙,특정,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육재정과장 강영숙,물품,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육재정과장 강영숙,치면,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육재정과장 강영숙,제품,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육재정과장 강영숙,인터엠,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육재정과장 강영숙,기기,2.0
