회수,의원명,단어,빈도수
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육정책국장 강연흥,존경,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육정책국장 강연흥,장인,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육정책국장 강연흥,김경,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육정책국장 강연흥,인구,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육정책국장 강연흥,부위,6.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육정책국장 강연흥,안녕하십니까,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육정책국장 강연흥,서울특별시,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육정책국장 강연흥,강연,9.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육정책국장 강연흥,주시,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육정책국장 강연흥,고견,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육정책국장 강연흥,더욱,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육정책국장 강연흥,앞서,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육정책국장 강연흥,간부,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육정책국장 강연흥,소개,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육정책국장 강연흥,이종,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육정책국장 강연흥,유아교육,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육정책국장 강연흥,필순,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육정책국장 강연흥,초등교육,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육정책국장 강연흥,중등교육,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육정책국장 강연흥,이화성,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육정책국장 강연흥,대하,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육정책국장 강연흥,먼저,5.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육정책국장 강연흥,보고서,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육정책국장 강연흥,전문직,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육정책국장 강연흥,부서,5.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육정책국장 강연흥,참고,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육정책국장 강연흥,예산,11.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육정책국장 강연흥,책무,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육정책국장 강연흥,구현,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육정책국장 강연흥,교육지원청,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육정책국장 강연흥,자율형사립고,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육정책국장 강연흥,교의,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육정책국장 강연흥,다중,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육정책국장 강연흥,지향,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육정책국장 강연흥,정립,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육정책국장 강연흥,주체,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육정책국장 강연흥,차이,5.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육정책국장 강연흥,화로,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육정책국장 강연흥,이해당사자,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육정책국장 강연흥,간의,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육정책국장 강연흥,파생,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육정책국장 강연흥,대국민,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육정책국장 강연흥,기하,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육정책국장 강연흥,고자,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육정책국장 강연흥,직제,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육정책국장 강연흥,질적,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육정책국장 강연흥,자율,7.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육정책국장 강연흥,교육활동,7.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육정책국장 강연흥,교육과정,17.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육정책국장 강연흥,실질,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육정책국장 강연흥,치가,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육정책국장 강연흥,모델,6.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육정책국장 강연흥,교육행정,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육정책국장 강연흥,공함,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육정책국장 강연흥,높이,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육정책국장 강연흥,수행,5.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육정책국장 강연흥,교권,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육정책국장 강연흥,학폭법,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육정책국장 강연흥,대응,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육정책국장 강연흥,특색,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육정책국장 강연흥,영재,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육정책국장 강연흥,정보화,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육정책국장 강연흥,실화,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육정책국장 강연흥,창의력,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육정책국장 강연흥,신장,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육정책국장 강연흥,융합,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육정책국장 강연흥,실험,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육정책국장 강연흥,노후,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육정책국장 강연흥,실험실,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육정책국장 강연흥,안전,7.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육정책국장 강연흥,장비,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육정책국장 강연흥,잠재,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육정책국장 강연흥,발현,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육정책국장 강연흥,영재교육,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육정책국장 강연흥,소프트웨어,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육정책국장 강연흥,선도,6.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육정책국장 강연흥,감수성,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육정책국장 강연흥,생태,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육정책국장 강연흥,메이커,8.0
