회수,의원명,단어,빈도수
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육행정국장 정해철,교육행정,6.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육행정국장 정해철,정해철,6.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육행정국장 정해철,예산,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육행정국장 정해철,교부,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육행정국장 정해철,입찰,8.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육행정국장 정해철,주로,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육행정국장 정해철,한전,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육행정국장 정해철,거기,9.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육행정국장 정해철,허가,5.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육행정국장 정해철,아마,22.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육행정국장 정해철,금액,6.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육행정국장 정해철,수치,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육행정국장 정해철,양해,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육행정국장 정해철,주시,6.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육행정국장 정해철,교육재정,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육행정국장 정해철,답변,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육행정국장 정해철,말씀,24.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육행정국장 정해철,취지,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육행정국장 정해철,사립학교,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육행정국장 정해철,별로,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육행정국장 정해철,달라,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육행정국장 정해철,태생,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육행정국장 정해철,한계,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육행정국장 정해철,불구,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육행정국장 정해철,천적,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육행정국장 정해철,계시,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육행정국장 정해철,리라,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육행정국장 정해철,방수,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육행정국장 정해철,내진,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육행정국장 정해철,공법,7.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육행정국장 정해철,테스트,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육행정국장 정해철,베드,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육행정국장 정해철,그다음,6.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육행정국장 정해철,중소기업청,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육행정국장 정해철,중소기업,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육행정국장 정해철,제품,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육행정국장 정해철,전적,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육행정국장 정해철,하여튼,8.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육행정국장 정해철,이건,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육행정국장 정해철,총무,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육행정국장 정해철,소관,7.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육행정국장 정해철,무과,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육행정국장 정해철,초등학교,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육행정국장 정해철,글쎄,10.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육행정국장 정해철,이력,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육행정국장 정해철,먹통,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육행정국장 정해철,고요,8.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육행정국장 정해철,한번,10.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육행정국장 정해철,미처,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육행정국장 정해철,개입,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육행정국장 정해철,그게,9.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육행정국장 정해철,법령,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육행정국장 정해철,개경,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육행정국장 정해철,이기,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육행정국장 정해철,보지,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육행정국장 정해철,물품,5.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육행정국장 정해철,종료,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육행정국장 정해철,금년,6.0
