회수,의원명,단어,빈도수
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육혁신과장 이종탁,이종,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육혁신과장 이종탁,상위,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육혁신과장 이종탁,계급,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육혁신과장 이종탁,고요,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육혁신과장 이종탁,갑자기,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육혁신과장 이종탁,대답,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육혁신과장 이종탁,통계,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육혁신과장 이종탁,나중,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육혁신과장 이종탁,벨트,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육혁신과장 이종탁,중랑구,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육혁신과장 이종탁,초등학교,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육혁신과장 이종탁,자율,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육혁신과장 이종탁,구성원,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육혁신과장 이종탁,말씀,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육혁신과장 이종탁,그게,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육혁신과장 이종탁,이기,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육혁신과장 이종탁,교사,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육혁신과장 이종탁,학부모,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),교육혁신과장 이종탁,지점,1.0
