회수,의원명,단어,빈도수
제290회[정례회] (2019.11.01 ~ 2019.12.20),급식기획팀장 박연희,급식,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),급식기획팀장 박연희,연희,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),급식기획팀장 박연희,스마트,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),급식기획팀장 박연희,세척,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),급식기획팀장 박연희,예산,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),급식기획팀장 박연희,감사,7.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),급식기획팀장 박연희,이기,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),급식기획팀장 박연희,정보공개,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),급식기획팀장 박연희,치결,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),급식기획팀장 박연희,말씀,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),급식기획팀장 박연희,과대,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),급식기획팀장 박연희,광고,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),급식기획팀장 박연희,대당,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),급식기획팀장 박연희,기보,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),급식기획팀장 박연희,고가,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),급식기획팀장 박연희,장점,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),급식기획팀장 박연희,특장점,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),급식기획팀장 박연희,감안,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),급식기획팀장 박연희,조리기구,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),급식기획팀장 박연희,전해,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),급식기획팀장 박연희,듣기,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),급식기획팀장 박연희,어쨌거,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),급식기획팀장 박연희,정반대,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),급식기획팀장 박연희,청렴,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),급식기획팀장 박연희,납품,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),급식기획팀장 박연희,거기,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),급식기획팀장 박연희,만날,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),급식기획팀장 박연희,전혀,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),급식기획팀장 박연희,참고,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),급식기획팀장 박연희,사결,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),급식기획팀장 박연희,비리,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),급식기획팀장 박연희,수사의뢰,1.0
