회수,의원명,단어,빈도수
제290회[정례회] (2019.11.01 ~ 2019.12.20),기획조정실장 권성연,존경,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),기획조정실장 권성연,장인,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),기획조정실장 권성연,김경,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),기획조정실장 권성연,인구,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),기획조정실장 권성연,부위,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),기획조정실장 권성연,안녕하십니까,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),기획조정실장 권성연,실장,6.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),기획조정실장 권성연,성연,6.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),기획조정실장 권성연,실의,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),기획조정실장 권성연,매우,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),기획조정실장 권성연,앞서서,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),기획조정실장 권성연,정실,6.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),기획조정실장 권성연,간부,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),기획조정실장 권성연,소개,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),기획조정실장 권성연,민호,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),기획조정실장 권성연,안전,9.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),기획조정실장 권성연,예산,16.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),기획조정실장 권성연,김중락,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),기획조정실장 권성연,박은경,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),기획조정실장 권성연,허일,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),기획조정실장 권성연,노사,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),기획조정실장 권성연,배부,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),기획조정실장 권성연,실국별,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),기획조정실장 권성연,부서,9.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),기획조정실장 권성연,먼저,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),기획조정실장 권성연,참고,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),기획조정실장 권성연,주시,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),기획조정실장 권성연,슬림화,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),기획조정실장 권성연,교육지원청,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),기획조정실장 권성연,조직개편,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),기획조정실장 권성연,격차,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),기획조정실장 권성연,완화,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),기획조정실장 권성연,정의,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),기획조정실장 권성연,차등,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),기획조정실장 권성연,학부모,14.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),기획조정실장 권성연,교직원,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),기획조정실장 권성연,한계,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),기획조정실장 권성연,상의,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),기획조정실장 권성연,장지원,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),기획조정실장 권성연,체감,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),기획조정실장 권성연,복지,9.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),기획조정실장 권성연,상호,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),기획조정실장 권성연,총량제,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),기획조정실장 권성연,전심,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),기획조정실장 권성연,의제,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),기획조정실장 권성연,주체,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),기획조정실장 권성연,국제사회,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),기획조정실장 권성연,안착,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),기획조정실장 권성연,완성,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),기획조정실장 권성연,서울특별시,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),기획조정실장 권성연,공포,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),기획조정실장 권성연,통한,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),기획조정실장 권성연,자율,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),기획조정실장 권성연,운영체제,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),기획조정실장 권성연,심의회,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),기획조정실장 권성연,보이,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),기획조정실장 권성연,추경,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),기획조정실장 권성연,무분별,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),기획조정실장 권성연,안전교육,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),기획조정실장 권성연,교육비,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),기획조정실장 권성연,교부,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),기획조정실장 권성연,원단,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),기획조정실장 권성연,제입,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),기획조정실장 권성연,내외,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),기획조정실장 권성연,효율,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),기획조정실장 권성연,자치구,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),기획조정실장 권성연,결합도,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),기획조정실장 권성연,지구별,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),기획조정실장 권성연,자율성,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),기획조정실장 권성연,시적,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),기획조정실장 권성연,활성화,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),기획조정실장 권성연,회의실,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),기획조정실장 권성연,신입생,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),기획조정실장 권성연,환기,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),기획조정실장 권성연,조부모,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),기획조정실장 권성연,로서,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),기획조정실장 권성연,페이지,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),기획조정실장 권성연,취약,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),기획조정실장 권성연,계층,3.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),기획조정실장 권성연,개교,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),기획조정실장 권성연,스승,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),기획조정실장 권성연,제자,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),기획조정실장 권성연,기인,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),기획조정실장 권성연,그림책,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),기획조정실장 권성연,두런두런,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),기획조정실장 권성연,가능성,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),기획조정실장 권성연,소득,5.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),기획조정실장 권성연,학비,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),기획조정실장 권성연,급식,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),기획조정실장 권성연,방과후,1.0
